ARVCF,CDH2
PDPK1,AKT3
AKT3,PRKCD
AKT3,PRKCG
AKT3,PRKCZ
AKT3,TCL1A
AKT3,TSC2
CCNC,MED6
MED6,CDK8
MED6,CRSP3
MED6,CRSP7
MED6,PARP1
MED6,RARA
MED6,SMAD1
MED6,SMAD2
MED6,SURB7
CRX,NR2E3
NR2E3,NR1D1
RARA,NR2E3
NR2E3,RXRB
ABI1,ABL1
ABI1,DNM2
ABI1,EPS8
ABI1,HSPA8
ABI1,NCF1C
ABI1,NCK1
ABI1,NCK2
ABI1,NEB
ABI1,PAK2
ABI1,SOS1
ABI1,SOS2
ABI1,SPTA1
ABI1,SPTAN1
ABI1,WASF1
EWSR1,GNPDA1
CTNND1,ZBTB33
ZBTB33,MMP7
ZBTB33,NCOR1
ZBTB33,S100A4
ZBTB33,WNT11
CASP8,CDH3
CALM3,TANK
TANK,CHUK
TANK,CLTC
TANK,HNRPM
TANK,HNRPU
TANK,HSPA1B
TANK,HSPA5
TANK,HSPA7
HSPA8,TANK
TANK,HSPA9B
TANK,IARS
TANK,IKBKB
TANK,IKBKE
TANK,IKBKG
TANK,KARS
TANK,KRT1
TANK,KRT16
TANK,KRT9
TANK,NAP1L1
TANK,PICALM
TANK,RANBP5
TANK,RARS
TANK,TNFRSF8
TANK,TRADD
TANK,TRAF1
TANK,TRAF2
TANK,TRAF3
TANK,TUBA2
TANK,USP7
BCL3,HDAC6
HDAC6,DCTN1
HDAC6,EP300
HDAC6,PLAA
HDAC6,RELB
HDAC6,RUNX2
HDAC6,TUBA1
HDAC6,TUBA3
HDAC6,UBB
HDAC6,UBC
HDAC6,VCP
HDAC6,ZBTB16
BCL6,HDAC5
HDAC5,CAMK1
HDAC5,EEF1G
HDAC5,GATA1
HDAC5,GATA2
HDAC5,GCM1
HDAC5,HDAC3
HDAC5,MEF2A
HDAC5,MEF2C
HDAC5,MEF2D
NCOR1,HDAC5
HDAC5,NCOR2
HDAC5,PRKD1
HDAC5,RUNX3
HDAC5,SFN
HDAC5,SUV39H1
HDAC5,TNFSF10
HDAC5,YWHAB
HDAC5,YWHAE
ZBTB16,HDAC5
ATN1,PDCD6IP
PDCD6IP,PLXNA2
PDCD6IP,SH3GL1
PDCD6IP,SH3GL2
PDCD6IP,SH3GL3
PDCD6IP,TSG101
PDCD6IP,TTF2
ANXA11,PDCD6
PDCD6,ANXA7
PDCD6,CPNE1
PDCD6,FAS
PDCD6,FASLG
PDCD6,GRB2
PDCD6,IGFALS
PDCD6,MAP3K5
PDCD6IP,PDCD6
PDCD6,SLC2A4
APAF1,BCL2L10
BCL2L10,BAD
BCL2L10,BAK1
BCL2L10,BAX
BCL2L10,BCL2
BCL2L10,BCL2L1
AKT1,BCL2L11
BCL2,BCL2L11
BCL2L1,BCL2L11
BCL2L11,BCL2L2
BCL2L11,DYNLL1
BCL2L11,FOXO3A
BCL2L11,MAPK10
BCL2L11,MAPK8
BCL2L11,MAPK9
BCL2L11,MCL1
BCL2L11,VDAC1
YWHAB,BCL2L11
CD247,SH2B3
SH2B3,FLNA
GRB2,SH2B3
SH2B3,KIT
SH2B3,LCK
SH2B3,ZAP70
CDH2,CDH4
DVL1,FRAT1
FRAT1,GSK3B
BYSL,TROAP
TROAP,DYNLT1
CRSP3,THRAP5
CRSP7,THRAP5
ALPP,PIGK
PIGK,GPAA1
BAZ1B,CHAF1A
CHAF1A,CHAF1B
CHAF1A,HIST1H3E
CHAF1A,MBD1
CHAF1A,PCNA
CHAF1A,SETDB1
BUB3,PARP2
CASP8,PARP2
PARP2,CENPA
PARP2,CENPB
PARP1,PARP2
PARP2,XRCC1
PARP1,PARP3
FYN,TOM1L1
TOM1L1,GLUD2
GRB2,TOM1L1
TOM1L1,GSN
TOM1L1,HGS
TOM1L1,HNRPH1
TOM1L1,PHYH
TOM1L1,PIK3R1
TOM1L1,PWP2H
TSG101,TOM1L1
CLTC,TOM1
TOM1,EEA1
TOM1,ZFYVE16
BCAR1,SH2D3C
SH2D3C,EPHB2
SH2D3C,MAPK1
SH2D3C,NEDD9
SH2D3C,PTK2B
SH2D3C,SNCAIP
SH2D3C,SRC
BCAR1,SH2D3A
SH2D3A,EGFR
AR,RANBP9
RANBP9,AXL
RANBP9,CALB1
RANBP9,DYRK1B
RANBP9,ENTPD1
RANBP9,FMR1
RANBP9,ITGAL
RANBP9,ITGB2
RANBP9,L1CAM
RANBP9,MET
RANBP9,RAN
RANBP9,S100A7
SOS1,RANBP9
