@relation CommodityTendencyPrediction

@attribute commIm01 numeric
@attribute commEx01 numeric
@attribute commIm02 numeric
@attribute commEx02 numeric
@attribute commIm03 numeric
@attribute commEx03 numeric
@attribute commIm04 numeric
@attribute commEx04 numeric
@attribute commIm05 numeric
@attribute commEx05 numeric
@attribute commIm06 numeric
@attribute commEx06 numeric
@attribute commIm07 numeric
@attribute commEx07 numeric
@attribute commIm08 numeric
@attribute commEx08 numeric
@attribute commIm09 numeric
@attribute commEx09 numeric
@attribute commIm10 numeric
@attribute commEx10 numeric
@attribute commIm11 numeric
@attribute commEx11 numeric
@attribute commIm12 numeric
@attribute commEx12 numeric
@attribute commIm13 numeric
@attribute commEx13 numeric
@attribute commIm14 numeric
@attribute commEx14 numeric
@attribute commIm15 numeric
@attribute commEx15 numeric
@attribute commIm16 numeric
@attribute commEx16 numeric
@attribute commIm17 numeric
@attribute commEx17 numeric
@attribute commIm18 numeric
@attribute commEx18 numeric
@attribute commIm19 numeric
@attribute commEx19 numeric
@attribute commIm20 numeric
@attribute commEx20 numeric
@attribute commIm21 numeric
@attribute commEx21 numeric
@attribute commIm22 numeric
@attribute commEx22 numeric
@attribute commIm23 numeric
@attribute commEx23 numeric
@attribute commIm24 numeric
@attribute commEx24 numeric
@attribute commIm25 numeric
@attribute commEx25 numeric
@attribute commIm26 numeric
@attribute commEx26 numeric
@attribute commIm27 numeric
@attribute commEx27 numeric
@attribute commIm28 numeric
@attribute commEx28 numeric
@attribute commIm29 numeric
@attribute commEx29 numeric
@attribute commIm30 numeric
@attribute commEx30 numeric
@attribute commIm31 numeric
@attribute commEx31 numeric
@attribute commIm32 numeric
@attribute commEx32 numeric
@attribute commIm33 numeric
@attribute commEx33 numeric
@attribute commIm34 numeric
@attribute commEx34 numeric
@attribute commIm35 numeric
@attribute commEx35 numeric
@attribute commIm36 numeric
@attribute commEx36 numeric
@attribute commIm37 numeric
@attribute commEx37 numeric
@attribute commIm38 numeric
@attribute commEx38 numeric
@attribute commIm39 numeric
@attribute commEx39 numeric
@attribute commIm40 numeric
@attribute commEx40 numeric
@attribute commIm41 numeric
@attribute commEx41 numeric
@attribute commIm42 numeric
@attribute commEx42 numeric
@attribute commIm43 numeric
@attribute commEx43 numeric
@attribute commIm44 numeric
@attribute commEx44 numeric
@attribute commIm45 numeric
@attribute commEx45 numeric
@attribute commIm46 numeric
@attribute commEx46 numeric
@attribute commIm47 numeric
@attribute commEx47 numeric
@attribute commIm48 numeric
@attribute commEx48 numeric
@attribute commIm49 numeric
@attribute commEx49 numeric
@attribute commIm50 numeric
@attribute commEx50 numeric
@attribute commIm51 numeric
@attribute commEx51 numeric
@attribute commIm52 numeric
@attribute commEx52 numeric
@attribute commIm53 numeric
@attribute commEx53 numeric
@attribute commIm54 numeric
@attribute commEx54 numeric
@attribute commIm55 numeric
@attribute commEx55 numeric
@attribute commIm56 numeric
@attribute commEx56 numeric
@attribute commIm57 numeric
@attribute commEx57 numeric
@attribute commIm58 numeric
@attribute commEx58 numeric
@attribute commIm59 numeric
@attribute commEx59 numeric
@attribute commIm60 numeric
@attribute commEx60 numeric
@attribute commIm61 numeric
@attribute commEx61 numeric
@attribute commIm62 numeric
@attribute commEx62 numeric
@attribute commIm63 numeric
@attribute commEx63 numeric
@attribute commIm64 numeric
@attribute commEx64 numeric
@attribute commIm65 numeric
@attribute commEx65 numeric
@attribute commIm66 numeric
@attribute commEx66 numeric
@attribute commIm67 numeric
@attribute commEx67 numeric
@attribute commIm68 numeric
@attribute commEx68 numeric
@attribute commIm69 numeric
@attribute commEx69 numeric
@attribute commIm70 numeric
@attribute commEx70 numeric
@attribute commIm71 numeric
@attribute commEx71 numeric
@attribute commIm72 numeric
@attribute commEx72 numeric
@attribute commIm73 numeric
@attribute commEx73 numeric
@attribute commIm74 numeric
@attribute commEx74 numeric
@attribute commIm75 numeric
@attribute commEx75 numeric
@attribute commIm76 numeric
@attribute commEx76 numeric
@attribute commIm78 numeric
@attribute commEx78 numeric
@attribute commIm79 numeric
@attribute commEx79 numeric
@attribute commIm80 numeric
@attribute commEx80 numeric
@attribute commIm81 numeric
@attribute commEx81 numeric
@attribute commIm82 numeric
@attribute commEx82 numeric
@attribute commIm83 numeric
@attribute commEx83 numeric
@attribute commIm84 numeric
@attribute commEx84 numeric
@attribute commIm85 numeric
@attribute commEx85 numeric
@attribute commIm86 numeric
@attribute commEx86 numeric
@attribute commIm87 numeric
@attribute commEx87 numeric
@attribute commIm88 numeric
@attribute commEx88 numeric
@attribute commIm89 numeric
@attribute commEx89 numeric
@attribute commIm90 numeric
@attribute commEx90 numeric
@attribute commIm91 numeric
@attribute commEx91 numeric
@attribute commIm92 numeric
@attribute commEx92 numeric
@attribute commIm93 numeric
@attribute commEx93 numeric
@attribute commIm94 numeric
@attribute commEx94 numeric
@attribute commIm95 numeric
@attribute commEx95 numeric
@attribute commIm96 numeric
@attribute commEx96 numeric
@attribute commIm97 numeric
@attribute commEx97 numeric
@attribute commIm99 numeric
@attribute commEx99 numeric
@attribute tendency01 {0, 1}
@attribute tendency02 {0, 1}
@attribute tendency03 {0, 1}
@attribute tendency04 {0, 1}
@attribute tendency05 {0, 1}
@attribute tendency06 {0, 1}
@attribute tendency07 {0, 1}
@attribute tendency08 {0, 1}
@attribute tendency09 {0, 1}
@attribute tendency10 {0, 1}
@attribute tendency11 {0, 1}
@attribute tendency12 {0, 1}
@attribute tendency13 {0, 1}
@attribute tendency14 {0, 1}
@attribute tendency15 {0, 1}
@attribute tendency16 {0, 1}
@attribute tendency17 {0, 1}
@attribute tendency18 {0, 1}
@attribute tendency19 {0, 1}
@attribute tendency20 {0, 1}
@attribute tendency21 {0, 1}
@attribute tendency22 {0, 1}
@attribute tendency23 {0, 1}
@attribute tendency24 {0, 1}
@attribute tendency25 {0, 1}
@attribute tendency26 {0, 1}
@attribute tendency27 {0, 1}
@attribute tendency28 {0, 1}
@attribute tendency29 {0, 1}
@attribute tendency30 {0, 1}
@attribute tendency31 {0, 1}
@attribute tendency32 {0, 1}
@attribute tendency33 {0, 1}
@attribute tendency34 {0, 1}
@attribute tendency35 {0, 1}
@attribute tendency36 {0, 1}
@attribute tendency37 {0, 1}
@attribute tendency38 {0, 1}
@attribute tendency39 {0, 1}
@attribute tendency40 {0, 1}
@attribute tendency41 {0, 1}
@attribute tendency42 {0, 1}
@attribute tendency43 {0, 1}
@attribute tendency44 {0, 1}
@attribute tendency45 {0, 1}
@attribute tendency46 {0, 1}
@attribute tendency47 {0, 1}
@attribute tendency48 {0, 1}
@attribute tendency49 {0, 1}
@attribute tendency50 {0, 1}
@attribute tendency51 {0, 1}
@attribute tendency52 {0, 1}
@attribute tendency53 {0, 1}
@attribute tendency54 {0, 1}
@attribute tendency55 {0, 1}
@attribute tendency56 {0, 1}
@attribute tendency57 {0, 1}
@attribute tendency58 {0, 1}
@attribute tendency59 {0, 1}
@attribute tendency60 {0, 1}
@attribute tendency61 {0, 1}
@attribute tendency62 {0, 1}
@attribute tendency63 {0, 1}
@attribute tendency64 {0, 1}
@attribute tendency65 {0, 1}
@attribute tendency66 {0, 1}
@attribute tendency67 {0, 1}
@attribute tendency68 {0, 1}
@attribute tendency69 {0, 1}
@attribute tendency70 {0, 1}
@attribute tendency71 {0, 1}
@attribute tendency72 {0, 1}
@attribute tendency73 {0, 1}
@attribute tendency74 {0, 1}
@attribute tendency75 {0, 1}
@attribute tendency76 {0, 1}
@attribute tendency78 {0, 1}
@attribute tendency79 {0, 1}
@attribute tendency80 {0, 1}
@attribute tendency81 {0, 1}
@attribute tendency82 {0, 1}
@attribute tendency83 {0, 1}
@attribute tendency84 {0, 1}
@attribute tendency85 {0, 1}
@attribute tendency86 {0, 1}
@attribute tendency87 {0, 1}
@attribute tendency88 {0, 1}
@attribute tendency89 {0, 1}
@attribute tendency90 {0, 1}
@attribute tendency91 {0, 1}
@attribute tendency92 {0, 1}
@attribute tendency93 {0, 1}
@attribute tendency94 {0, 1}
@attribute tendency95 {0, 1}
@attribute tendency96 {0, 1}
@attribute tendency97 {0, 1}
@attribute tendency99 {0, 1}

@data
175107423,376346254,16060217,2760399076,266144757,679651677,104933360,633131650,43058125,76978714,6837776,18872813,66394869,263866826,133348566,289001584,220358173,9568149,17811247,2176851085,7209747,216158967,88266627,288605234,30909368,3265890,3459281,507880,133249992,199817275,221102386,163540175,40532528,973436558,152057043,47737468,75236775,110404913,163607549,158788180,240172702,67672024,309716422,293835764,69312260,154724047,119259725,26035510,309556608,212087561,61635610,3886216110,1991311708,7538573657,705056022,2216401176,1506882569,153365658,647796262,229213393,200074185,9792472,234665277,129843662,226846438,66045925,127612179,42051414,71186838,65912101,29977585,11750660,365375918,242721221,504807112,108672683,1670559655,321994287,862976234,98992228,176860955,887264532,263294053,25407774,12116982,18023850,776848521,527678595,38639269,1571040,26011172,123135,270519271,44836225,1426886289,140015306,688981975,125803090,25850775,377792,240319559,6842985335,483494457,482518186,67774736,2225632,326885845,14166518,527004248,20643847,97562551,15934158,140107901,34120816,91219258,2986201,96092394,18331047,77873719,8640752,340536320,27458534,355989178,30274109,243614974,44071699,356144133,16517189,47235373,5010103,13454853,321461,24285413,407159,164297002,41425087,382385059,24678971,363877043,66967506,565266623,3475906982,771220930,694354546,758096474,228980326,115501853,466729308,31245494,420849546,179113675,2995574832,1713046,441402157,5116063,340453938,30126933,5199607,54973141,35977985,453898377,53599848,251939173,72835425,9631263456,1677128348,4833549663,544092778,57615791,49265687,4746312019,465236117,1429292337,314674293,198535921,172776596,1991403026,403757828,191270421,23773868,84588905,2617793,46378998,17828483,410088131,76587670,429935858,70719674,206772913,12423689,369990471,36415967,1089140129,183582906,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1
22360293,7134429,18708696,9776947,61648913,32254906,14674571,194968662,62375494,2751805,96391557,4370649,134096871,1247685,324037361,8653361,278801000,19126140,59387815,773388,5046219,10491089,130355900,751722,15207943,293218,2951254,5268,41376824,35886012,78757456,40595347,69070005,55547582,90144815,78661089,54805786,52275097,120850841,8479027,94446330,5495078,66275968,36024413,112103121,12786374,65615334,27951729,348155618,83340765,483163560,32828539,2990102100,551748628,349851899,113598621,577916501,354843938,381423807,119359325,87337402,104963248,228094157,354023764,126086964,38811455,133510837,44402735,93189306,21406368,10884273,13769277,152316069,3306137,348935728,88895926,1340887778,839141835,468897374,98448766,137392163,47375588,104665350,46902039,72404381,418395140,505514474,2500597232,7473333,138035,5586161,146337,85378630,1650399372,404359047,8954285426,173542386,199089797,2450821,26172,67538443,4787820,184658585,29770214,8596730,5513585,173629090,27105947,182582538,161153049,66570202,74297068,60620508,11288635,38521464,10773529,167249330,57442481,40675799,17682504,434168565,233972282,414544340,588486350,97333117,39311901,241263350,217648853,16006279,7430590,4894301,114806,6946146,101519,114223740,95205248,128534766,44558840,163625417,215913945,87653744,75371235,797159960,1396222995,635901453,621537757,298895462,511992968,120646350,176448115,401160582,179943868,15382736,2545352,2877300,219164063,4018377,331052,14326575,31538393,189284332,72237898,157465202,41149596,5180785526,3669452310,2849664560,1939904231,87305786,236810188,3462172154,1282849551,367075679,28690799,417603033,1575794760,900890029,472767417,67957477,11235740,43452517,9111272,187146140,22380116,373476988,448517588,191302679,120221881,104665694,17889375,20655979,4235223,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0
606925143,624053572,4393467556,2464969879,1392706185,256910197,3983753784,6361027459,698698284,325159735,2406472803,229590379,4008232798,278127431,4894351302,351834660,3084013700,779760567,1704797889,1077854235,425962863,472811556,3048069799,602588529,205709982,227839318,65640116,49882070,1336693161,1753209557,1023861006,530338279,716595522,834446470,1614972880,990307234,907876051,1239426471,3149180501,950752387,870446971,986275157,2710291427,1566144683,2459180764,1660139153,1075016437,1233467208,1605403973,1252284009,3712403782,275737447,28548799224,5870417191,4076660073,4863299460,9957874689,16646453367,2864783349,5355745925,1040343052,1039413068,1750941989,6685982705,1348404213,1529024615,778146843,2677561730,656869897,943782495,126342033,154075359,1951365946,2036336380,3099204373,7413901089,13418706558,23004111420,5215187874,5215435715,1490028075,1227834832,2505441277,713517359,938953260,711063187,4443863101,2757063991,110174958,38429272,101819730,14032364,3639447396,400032846,8817901826,10403393304,1387273897,3564201154,286737928,119712488,2299543226,1435037651,2509070349,2380017351,251579392,112587330,1684698779,3060897486,2322725002,3930212914,622045760,1866446284,2192486733,799459615,441688074,698737097,641591041,1259997333,503512577,912451499,8034667499,2259412166,11435330369,5095666490,1111936485,833643355,4837339598,1304718802,144694574,63008300,154020125,67556877,133104437,46459067,1685334726,1809367375,1802576596,2643798919,2321053059,3427833384,5062956214,3230378609,12579438325,16210324576,5809261444,11979080165,4117895832,3956917756,1306305663,534179264,5964604213,6317568917,146188872,187232044,509453941,362212642,244870728,47720487,598929669,296033624,1952522870,3497554836,1026236057,2837993429,41499749829,92466186245,31461762305,42076983081,157549117,939975832,23875573790,72685940962,6342080866,6829094964,388581543,1582146055,10281326674,17867660208,1104199252,1179633696,361627460,336037804,104161940,247795133,5072469798,6588417490,2032343134,1301857073,811318458,1574050603,545726108,2028361828,14496784795,16602996662,1,1,1,0,1,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0
50719616,1938561,808870399,8283750,163357358,55081275,578104273,60355299,7373405,7076744,22232372,2114946,49167877,64251313,50728598,354856760,113400447,4899952,253773941,256225086,26632737,2674942,163102132,10207868,5696981,3113503,4143205,366460,93187421,113265558,71487965,43934670,191154089,11234067,71084512,6298676,78766129,19067172,67536170,500811969,144290436,5830111,147471953,80928185,88086137,36917221,83933780,362990689,75084353,349977435,15239378,72354390,920859714,420248755,143267462,56211193,478196259,22187737,223199449,81388934,61018558,44390981,219592640,40896110,64064001,26089464,82428537,3723679,39693226,2373041,19076589,2046235,58854713,888306,264917719,24545015,685923851,83854808,215864212,43015269,106155319,72608477,30357011,15221941,444573122,537797577,274279003,40941881,5458073,23165,9426286,44497,115770115,1293508,461969228,58335967,47142304,16932560,2847631,67236,167188180,27815067,359844829,508760707,18118508,224563,151739404,78563906,298958786,42383881,57580471,6504577,27410745,33252885,31292763,16567185,54266510,2350557,60413908,25255768,108351511,933926492,134873856,470551845,60970978,92346448,111321370,68672331,3421332,688150,6568458,45287,4735714,14813,23260756,76775269,139169945,49587675,134619360,17246586,76961658,29912427,712149589,334240908,251667351,120528893,239137765,116976753,3272319,40480,94038576,343790817,8848493,1949589,30853133,867589,4743180,0,6630661,393528,86961124,25368038,76035703,10598100,2155326558,98611466,998043122,136003615,8600732,3354322,1272128662,15706807,22742570,12242938,1045172665,3247845,351609750,14495123,34637842,305760,23730098,43800,9808003,2705096,92225094,8583567,61913722,6590971,70080581,4465555,2531257,246974,200732242,333370901,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0
0,0,0,0,0,466504,0,0,0,11641,0,63221,0,30641,0,1726889,0,48664947,0,1879,0,0,0,86372,0,0,0,0,0,61204,0,0,0,796174,0,5963979,0,0,0,675432,0,0,0,621038,0,151,0,0,0,5490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4834709,0,0,0,0,0,0,0,0,0,0,0,3093700,0,115112,0,3114689,0,8339152,0,0,0,969544,0,0,0,6185779,0,0,0,2502544,0,0,0,36180,0,5092,0,86056,0,1524922,0,0,0,2108840,0,4709090,0,32828,0,148273,0,0,0,497577,0,37107689,0,59266128,0,4619793,0,3710039,0,63397,0,0,0,0,0,0,0,54595,0,0,0,295906,0,0,0,0,0,29770,0,0,0,261,0,0,0,0,0,0,0,0,0,0,0,0,0,4403494,0,14037440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,790765,0,35461818,0,2140057,0,71599,0,9256288,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3268,2717905,161,8803230,11783790,1414177985,405672,1450540,674792,7554083,4311860,0,8553709,8021,24471190,16396,12983760,0,4467522,433,11291825,1354,1759869,256596,841125,0,117879,0,6850284,49726965,1412202,48454931,13317640,82497,12518489,3189,19897827,5356,17042034,475,17884685,24768,22089481,1248578,11340614,149078644,17160510,148,15541533,16953926,1643889,0,158045548,45838,59311787,0,10159252,0,37194719,433927,6816452,0,16818226,59537,18406365,1191,14485557,25460,3821340,108734,2432874,0,11270330,29292,10360577,303,107284759,5147940,26385912,287945,1984212,3566401,15171419,18014,655289,22139789,79976271,14786,567728,0,144907,0,1088,201748,82668622,1754807,20030492,179396,234666,0,7257712,9844738,6307374,3502,234845,0,2792088,2042,5000342,803,19143789,5855588,9742170,46999,2384813,7451,3666845,0,2556262,1119660,48028275,26177465,74959976,1160023,14626244,2157898,24852370,54883,1867496,258483,89510,0,460332,0,7017194,1138459,13718755,106146,17987348,43929,6295082,1052,37458647,88491490,80784575,4300073,4021308,449988,29599,0,29449228,245029129,539650,44253,646492,19875,89020,0,148790,0,15286721,100801,18498082,18011,294809463,17024813,198324985,1072512,1426745,2308,213366399,612959,7161972,73783359,201036658,15832055,60029175,524434,4507909,2014,5050986,33347,1747104,0,84574473,1096147,21844170,0,8468593,6019,2046257,1409631,4918302,10997434,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0
247161287,2055525,6213174978,8456495,14233185880,639096366,799277853,3288318,855518749,32647355,222610209,17383748,1399135965,86357259,2600784232,80517014,1464130894,8851015,5743537260,274675,418596584,83678739,4397167414,169694152,223862297,18381210,119534280,4538672,621446621,259287194,1665697306,539413137,927913320,48139245,573804554,19396179,300991354,188557168,1289267783,46438047,480850901,199562372,1665187863,102975217,1221570746,308521268,1712990141,91895010,2258901597,415114190,9981210183,27356298,58033675242,860856456,3468725439,1622849784,7686826792,7888522550,2774725371,334619197,622862537,189050023,978506221,1555135784,583548934,369427383,279088085,495302881,607635050,320445682,57644286,26562289,872433947,3843593014,1815940187,2136604463,2904024043,6806127306,2377859681,5282710074,1367858226,518610167,2043210624,109395557,661341214,19247627,13705951735,153921868,33351635,827682,406553824,3659267,3156706514,14998106,1712158918,2417864252,654674461,675418967,861585272,173402590,3328663505,385417038,3569024224,1225346027,365421914,46223492,317139976,3404962323,492253832,2241020377,206783774,530610684,470139801,84516610,236791441,235066026,232117897,502582374,113723601,356427728,4241205669,205625197,4354549429,593593661,527746763,149448473,1729377088,71856404,87740221,57939414,243998771,10435139,128124418,2479315,847897528,710996190,302946097,1780026777,761055824,1524000438,13969837739,1079467786,6993161473,16559653771,1234402260,9737126209,2264626746,1713311952,1475712369,96772589,8905379527,1091750651,85536759,16318056,225303369,70552729,370129951,5874886,548207542,294108538,557201218,2244656253,222480546,626025360,13861758569,83020293132,11474690805,90197953168,56760598,856564303,5853098407,91980147053,3037271017,448743438,381539685,5897828505,5231728826,21214051194,984762729,3599189284,210987664,2009722742,151127241,108897340,1794956700,752320710,1898417895,1503621410,460762299,1834293964,2547331949,38354409,3024151340,5131751620,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,0,1
10358487,25560094,93326970,96012614,436638218,2112399119,22662179,2028584,144593951,13825112,9343148,2781942,48824647,118288505,48437323,189968154,121774386,6514115,1711805127,1192800,5908955,1928362,527591055,332650392,24700829,50039349,24215692,16284959,271361671,6696503,9931389,547238950,435890336,139333279,37858472,21210650,8942644,117985398,61918976,91970354,33947747,68625147,64183124,61647250,337551532,7743435,99626771,134473588,505970022,348045706,1425354796,11076997,8936533160,872345796,703470424,151299391,4827798593,773777295,108931124,73627054,106379956,351870861,726565529,181122392,132618355,32629406,232673100,54797412,176069331,19618228,3705390,20335781,339297127,68500802,773053047,132355603,1743802039,1664760240,949667207,1374844947,2284598280,178412972,16465622,4069183084,308288976,344372806,1873015785,223621595,2211427,722089,20902314,42258681,1261969367,424384,405991112,575696999,98204583,99179935,477626683,431756528,778500991,423749428,1477732290,737790973,170317270,34868680,493556268,2874070821,732605290,1278213549,147420447,348638773,27631526,45849984,61234521,353001510,122201559,334013110,21618349,196237684,12536706,4434300739,23871097,5808627160,23029433,491319782,46917532,5673638153,1557319,142263721,6703087,30590383,27671713,231383435,170861976,379452818,173920355,256203793,488157857,209133477,308360407,534552191,4070097623,3770459035,739873837,2869437516,1307231344,358224310,117718728,3901803,1388499288,355241126,127270444,5206657,61633216,134353556,52273547,3064732,67880348,24241046,228360605,494555213,99297346,339031470,12276755365,6694419038,11327848667,19636259837,46361699,1192221524,1090634393,5682445511,2156784139,170580223,327014330,2627021306,2470451718,859791687,339325081,428255285,55083720,422886895,137068784,25150341,95403628,538667624,159294906,2165054166,116847302,451362589,66179957,83215454,63499792,0,0,1,0,0,1,1,1,0,1,0,0,1,1,1,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,1,0,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,1,1
43293537,5090237,241195548,4640350,679682242,146098772,37388350,65106764,23571756,15650703,19135799,4408032,299171060,24485450,96062141,36180326,105465868,6106215,352064887,2134256,18358389,1479369,621791081,20312301,10048034,8384603,2637038,1406944,61745173,74028294,10544939,140316942,210799448,4297807,60049716,2258835,28340894,12741544,28369013,152799666,54070626,8812362,107591207,564442130,313453538,54180268,36534925,9342092,86940830,85353263,26937600,50142623,2184367343,482034168,191979997,20817944,790502334,265343936,226415730,54530141,64395068,23917119,272810170,33614918,99924927,28067292,93479250,39749924,51645431,1984017,10486630,4541284,96795445,3264161,295454539,216110814,672621113,351032491,331726527,79162615,518819309,33295104,33430428,46710030,10891330,9648392,271207726,533243783,47304964,606755329,3845208,6992579,47078371,1000815708,406403370,233793249,101781005,36754624,7148519,117931,201884111,60639234,889817637,233097476,56012998,8299820,392195212,62812574,394110464,296633797,54254675,138765650,23693493,47776620,69854976,21977149,97468156,42417796,75672129,18998293,146562153,1763386852,126776150,1624803118,26112331,686230725,124020488,1310567201,4572867,4843521,10709191,12425750,4101935,1178061,60381627,188867012,149138036,294491047,128625494,138947845,168301368,134346523,771799661,88861488,341238807,199864116,216282313,90619311,11182711,43669,286619212,76276008,36408937,2157821,33024357,1627103,10417701,2413095,4108259,493587,121456857,68136451,68185175,73429310,4013207833,778509876,2031351212,1005689046,14724094,744228,4042363875,853658093,37890550,47664666,54851459,66087550,520223448,95862753,60897299,6475739,20420318,130118,43226415,68602166,145676525,132298116,106433394,28140365,100097979,11726097,1628043,371134,1076438,13524164,1,0,1,0,0,0,1,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1
1865324,892040,36121,96785499,34448,633501152,113605791,3280676,3554537,59243328,196098,4781389,432883587,106092262,128209457,390932727,46383172,1158865781,703180966,344828547,1624113,720318,15966981,148844301,24151902,126735560,643455,27413192,799913441,14208108,12528,1296301,5065049,11281082,6531,2436140,88472659,17721079,46804,20936442,2116354,33495086,7342583,8482279,3884183,419526003,1988652,128910530,591119154,214771406,91803397,812317259,4920494572,530233840,832428790,232920077,1210234520,259315152,108036592,364136113,503843658,575340,94021990,257224628,28589838,137308008,35234216,35971459,21637574,1412774,3147570,3318118,144935265,28987599,189183711,83047633,862447025,65283367,230109518,106556375,45874961,694951008,1203835,386929844,4742136,1209529,368990163,19958195,4917941,334688,3002,144275,265688424,38219,310479497,11907185,134602239,27287780,73510013,178647989,211161468,27972788,131438561,959775959,15410446,169218989,132857199,121783991,45421344,75631746,10936947,5006552,0,605046280,4890633,17130460,18681668,15778950,14345633,26592123,499870,532014028,19026,1619578061,47037250,346457354,11737278,558661409,70184,577334,5123418,212628,211554,3936734,16655679,44763931,28919535,7910533,119621645,26195858,3273614401,4499919994,2098131036,210684928,533110765,221807210,491988282,53430109,178496105,315976,84597719,88325512,43827309,493436,136570490,730583,33705748,1070763,32629933,12613762,54542753,105114290,17136246,38493346,2718150281,727014108,1716760667,370215401,102295052,22725434,358927342,336617198,180511414,13627215,130790452,135472,670581440,114485633,39106303,978911,1045290,7957841,136085,326352,3062427,9728324,8564371,36616111,29669579,20378993,33165,1653892,1675620877,433135733,0,1,0,1,0,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0
