@relation mediamill-train-exp1

@attribute Att1 numeric
@attribute Att2 numeric
@attribute Att3 numeric
@attribute Att4 numeric
@attribute Att5 numeric
@attribute Att6 numeric
@attribute Att7 numeric
@attribute Att8 numeric
@attribute Att9 numeric
@attribute Att10 numeric
@attribute Att11 numeric
@attribute Att12 numeric
@attribute Att13 numeric
@attribute Att14 numeric
@attribute Att15 numeric
@attribute Att16 numeric
@attribute Att17 numeric
@attribute Att18 numeric
@attribute Att19 numeric
@attribute Att20 numeric
@attribute Att21 numeric
@attribute Att22 numeric
@attribute Att23 numeric
@attribute Att24 numeric
@attribute Att25 numeric
@attribute Att26 numeric
@attribute Att27 numeric
@attribute Att28 numeric
@attribute Att29 numeric
@attribute Att30 numeric
@attribute Att31 numeric
@attribute Att32 numeric
@attribute Att33 numeric
@attribute Att34 numeric
@attribute Att35 numeric
@attribute Att36 numeric
@attribute Att37 numeric
@attribute Att38 numeric
@attribute Att39 numeric
@attribute Att40 numeric
@attribute Att41 numeric
@attribute Att42 numeric
@attribute Att43 numeric
@attribute Att44 numeric
@attribute Att45 numeric
@attribute Att46 numeric
@attribute Att47 numeric
@attribute Att48 numeric
@attribute Att49 numeric
@attribute Att50 numeric
@attribute Att51 numeric
@attribute Att52 numeric
@attribute Att53 numeric
@attribute Att54 numeric
@attribute Att55 numeric
@attribute Att56 numeric
@attribute Att57 numeric
@attribute Att58 numeric
@attribute Att59 numeric
@attribute Att60 numeric
@attribute Att61 numeric
@attribute Att62 numeric
@attribute Att63 numeric
@attribute Att64 numeric
@attribute Att65 numeric
@attribute Att66 numeric
@attribute Att67 numeric
@attribute Att68 numeric
@attribute Att69 numeric
@attribute Att70 numeric
@attribute Att71 numeric
@attribute Att72 numeric
@attribute Att73 numeric
@attribute Att74 numeric
@attribute Att75 numeric
@attribute Att76 numeric
@attribute Att77 numeric
@attribute Att78 numeric
@attribute Att79 numeric
@attribute Att80 numeric
@attribute Att81 numeric
@attribute Att82 numeric
@attribute Att83 numeric
@attribute Att84 numeric
@attribute Att85 numeric
@attribute Att86 numeric
@attribute Att87 numeric
@attribute Att88 numeric
@attribute Att89 numeric
@attribute Att90 numeric
@attribute Att91 numeric
@attribute Att92 numeric
@attribute Att93 numeric
@attribute Att94 numeric
@attribute Att95 numeric
@attribute Att96 numeric
@attribute Att97 numeric
@attribute Att98 numeric
@attribute Att99 numeric
@attribute Att100 numeric
@attribute Att101 numeric
@attribute Att102 numeric
@attribute Att103 numeric
@attribute Att104 numeric
@attribute Att105 numeric
@attribute Att106 numeric
@attribute Att107 numeric
@attribute Att108 numeric
@attribute Att109 numeric
@attribute Att110 numeric
@attribute Att111 numeric
@attribute Att112 numeric
@attribute Att113 numeric
@attribute Att114 numeric
@attribute Att115 numeric
@attribute Att116 numeric
@attribute Att117 numeric
@attribute Att118 numeric
@attribute Att119 numeric
@attribute Att120 numeric
@attribute Class1 {0,1}
@attribute Class2 {0,1}
@attribute Class3 {0,1}
@attribute Class4 {0,1}
@attribute Class5 {0,1}
@attribute Class6 {0,1}
@attribute Class7 {0,1}
@attribute Class8 {0,1}
@attribute Class9 {0,1}
@attribute Class10 {0,1}
@attribute Class11 {0,1}
@attribute Class12 {0,1}
@attribute Class13 {0,1}
@attribute Class14 {0,1}
@attribute Class15 {0,1}
@attribute Class16 {0,1}
@attribute Class17 {0,1}
@attribute Class18 {0,1}
@attribute Class19 {0,1}
@attribute Class20 {0,1}
@attribute Class21 {0,1}
@attribute Class22 {0,1}
@attribute Class23 {0,1}
@attribute Class24 {0,1}
@attribute Class25 {0,1}
@attribute Class26 {0,1}
@attribute Class27 {0,1}
@attribute Class28 {0,1}
@attribute Class29 {0,1}
@attribute Class30 {0,1}
@attribute Class31 {0,1}
@attribute Class32 {0,1}
@attribute Class33 {0,1}
@attribute Class34 {0,1}
@attribute Class35 {0,1}
@attribute Class36 {0,1}
@attribute Class37 {0,1}
@attribute Class38 {0,1}
@attribute Class39 {0,1}
@attribute Class40 {0,1}
@attribute Class41 {0,1}
@attribute Class42 {0,1}
@attribute Class43 {0,1}
@attribute Class44 {0,1}
@attribute Class45 {0,1}
@attribute Class46 {0,1}
@attribute Class47 {0,1}
@attribute Class48 {0,1}
@attribute Class49 {0,1}
@attribute Class50 {0,1}
@attribute Class51 {0,1}
@attribute Class52 {0,1}
@attribute Class53 {0,1}
@attribute Class54 {0,1}
@attribute Class55 {0,1}
@attribute Class56 {0,1}
@attribute Class57 {0,1}
@attribute Class58 {0,1}
@attribute Class59 {0,1}
@attribute Class60 {0,1}
@attribute Class61 {0,1}
@attribute Class62 {0,1}
@attribute Class63 {0,1}
@attribute Class64 {0,1}
@attribute Class65 {0,1}
@attribute Class66 {0,1}
@attribute Class67 {0,1}
@attribute Class68 {0,1}
@attribute Class69 {0,1}
@attribute Class70 {0,1}
@attribute Class71 {0,1}
@attribute Class72 {0,1}
@attribute Class73 {0,1}
@attribute Class74 {0,1}
@attribute Class75 {0,1}
@attribute Class76 {0,1}
@attribute Class77 {0,1}
@attribute Class78 {0,1}
@attribute Class79 {0,1}
@attribute Class80 {0,1}
@attribute Class81 {0,1}
@attribute Class82 {0,1}
@attribute Class83 {0,1}
@attribute Class84 {0,1}
@attribute Class85 {0,1}
@attribute Class86 {0,1}
@attribute Class87 {0,1}
@attribute Class88 {0,1}
@attribute Class89 {0,1}
@attribute Class90 {0,1}
@attribute Class91 {0,1}
@attribute Class92 {0,1}
@attribute Class93 {0,1}
@attribute Class94 {0,1}
@attribute Class95 {0,1}
@attribute Class96 {0,1}
@attribute Class97 {0,1}
@attribute Class98 {0,1}
@attribute Class99 {0,1}
@attribute Class100 {0,1}
@attribute Class101 {0,1}

@data
0.532313,0.499447,0.433927,0.408891,0.27575,0.410542,0.346077,0.468646,0.401517,0.360439,0.092638,0.271412,0.218805,0.351035,0.264867,0.649805,0.634586,0.556114,0.530302,0.358268,0.501146,0.43459,0.590883,0.505995,0.463098,0.134595,0.364001,0.29559,0.450486,0.345939,0.426455,0.374901,0.300201,0.371996,0.327463,0.388818,0.294259,0.354535,0.38262,0.339766,0.146422,0.316636,0.275479,0.372921,0.313139,0.703762,0.678719,0.632198,0.6576,0.636807,0.622783,0.53012,0.667246,0.648678,0.638954,0.615661,0.613135,0.623567,0.646936,0.636838,0.474483,0.503391,0.501351,0.470996,0.203474,0.410694,0.316554,0.479098,0.343456,0.31043,0.076829,0.298559,0.142389,0.349902,0.200713,0.577721,0.620364,0.638458,0.593814,0.253985,0.503374,0.397912,0.572451,0.421106,0.381346,0.096743,0.374934,0.176715,0.442054,0.249165,0.396437,0.339082,0.308063,0.374957,0.271192,0.361001,0.28332,0.317308,0.354766,0.306589,0.128135,0.347558,0.206668,0.359903,0.260194,0.653918,0.616543,0.579099,0.672942,0.56841,0.59936,0.512536,0.555619,0.59382,0.567938,0.438765,0.612023,0.500268,0.638339,0.569507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.498384,0.513282,0.48963,0.396322,0.228176,0.374902,0.346567,0.503255,0.345217,0.316723,0.073324,0.224667,0.180657,0.30731,0.219031,0.62007,0.620699,0.634709,0.487775,0.318357,0.459971,0.415862,0.616495,0.443355,0.428917,0.119343,0.335839,0.278098,0.390067,0.305205,0.427078,0.420581,0.367604,0.400515,0.272714,0.377735,0.32711,0.407332,0.341854,0.306096,0.109972,0.263785,0.224375,0.340217,0.260538,0.716973,0.70244,0.660809,0.700559,0.677771,0.642324,0.57125,0.674617,0.646544,0.63595,0.589191,0.651378,0.654477,0.689123,0.656391,0.445162,0.491086,0.51825,0.448276,0.181036,0.389543,0.300445,0.492285,0.308227,0.289362,0.066915,0.272272,0.127759,0.316787,0.179394,0.53801,0.573838,0.644932,0.541774,0.242894,0.46545,0.358063,0.581002,0.377202,0.368284,0.095466,0.354394,0.182565,0.393389,0.237436,0.394789,0.376039,0.362176,0.404287,0.244695,0.372834,0.293936,0.361773,0.328077,0.291408,0.107571,0.319613,0.185315,0.344692,0.236158,0.655015,0.649205,0.63263,0.668186,0.580069,0.59813,0.511511,0.60313,0.590778,0.57387,0.381041,0.625826,0.488436,0.63616,0.553271,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.487788,0.455885,0.411292,0.379791,0.281724,0.396901,0.31808,0.435434,0.384271,0.347342,0.094071,0.276603,0.228479,0.341236,0.26994,0.643765,0.653501,0.64186,0.545087,0.39972,0.556147,0.431551,0.612292,0.509188,0.481533,0.138245,0.388538,0.32166,0.491859,0.37785,0.415636,0.368969,0.309855,0.356473,0.321388,0.384253,0.288881,0.350633,0.374517,0.337775,0.125297,0.315812,0.270571,0.36289,0.306957,0.696404,0.697105,0.644073,0.652404,0.622918,0.633667,0.515071,0.630707,0.667633,0.63951,0.329835,0.626599,0.55164,0.65986,0.603923,0.459953,0.436168,0.442481,0.419677,0.237619,0.409076,0.286167,0.452682,0.351322,0.328784,0.089055,0.334393,0.173118,0.35846,0.231601,0.577179,0.547993,0.598942,0.556484,0.311575,0.54142,0.374652,0.591972,0.440272,0.427398,0.119073,0.439427,0.228672,0.467973,0.301881,0.407089,0.342517,0.314945,0.369127,0.28786,0.37957,0.274807,0.335203,0.359783,0.326609,0.124921,0.36814,0.223787,0.373353,0.275654,0.647825,0.631536,0.601318,0.63429,0.57651,0.613985,0.484159,0.579263,0.611178,0.588444,0.302437,0.64962,0.508512,0.635163,0.542363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
0.537287,0.480115,0.393149,0.471863,0.299742,0.462507,0.367436,0.482126,0.396629,0.358639,0.096004,0.282162,0.229775,0.399644,0.284721,0.619609,0.545382,0.451048,0.55013,0.377671,0.528522,0.425929,0.554326,0.467901,0.436773,0.136788,0.379394,0.311094,0.476299,0.358866,0.450592,0.375646,0.301548,0.412279,0.34577,0.437608,0.321057,0.377153,0.386598,0.344806,0.127907,0.332549,0.282411,0.410999,0.326834,0.680932,0.605747,0.524657,0.665999,0.594787,0.638038,0.543685,0.599128,0.60573,0.569212,0.273312,0.596998,0.535361,0.651763,0.570468,0.469811,0.513962,0.512361,0.505958,0.196529,0.416954,0.336301,0.475451,0.331856,0.299177,0.076548,0.290374,0.136068,0.352939,0.192705,0.559647,0.585477,0.576711,0.583481,0.271533,0.473342,0.390851,0.525935,0.411828,0.375288,0.112169,0.392667,0.194641,0.439729,0.259664,0.415443,0.37115,0.343832,0.416857,0.255818,0.384185,0.306614,0.35169,0.344049,0.301002,0.112329,0.342617,0.190648,0.367474,0.246812,0.652626,0.622244,0.578204,0.665559,0.476184,0.582666,0.516219,0.561396,0.567058,0.503247,0.236175,0.593566,0.393894,0.606911,0.463663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.479287,0.516309,0.448195,0.531938,0.229023,0.439792,0.423847,0.51856,0.339376,0.292729,0.065197,0.208007,0.163927,0.370535,0.217099,0.534617,0.59708,0.530811,0.605072,0.258001,0.496095,0.477059,0.603089,0.379909,0.327519,0.074997,0.234678,0.181872,0.422908,0.244375,0.430947,0.410796,0.33789,0.470328,0.278371,0.43467,0.370882,0.410261,0.34794,0.296276,0.088696,0.256328,0.208663,0.394593,0.261462,0.682205,0.656791,0.567371,0.718813,0.502584,0.65191,0.607981,0.645471,0.551709,0.499363,0.187201,0.489864,0.407795,0.640505,0.468778,0.391622,0.501937,0.519028,0.537556,0.152448,0.4079,0.372234,0.477562,0.276552,0.241008,0.054206,0.224367,0.102285,0.313838,0.150622,0.467477,0.580872,0.597077,0.6477,0.196324,0.487185,0.43605,0.556741,0.339679,0.291632,0.070177,0.286995,0.132879,0.39306,0.195274,0.379594,0.374527,0.347552,0.448667,0.210758,0.390941,0.343184,0.345001,0.311209,0.261372,0.085357,0.287168,0.150239,0.344877,0.20554,0.623221,0.600417,0.582905,0.693368,0.417533,0.611703,0.555033,0.566228,0.528198,0.469903,0.192523,0.555047,0.332594,0.586422,0.399872,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0.531655,0.456342,0.3985,0.362404,0.295658,0.421193,0.313447,0.439711,0.406343,0.387332,0.100595,0.302222,0.251346,0.340774,0.286897,0.600687,0.526231,0.498093,0.420435,0.367185,0.500438,0.358422,0.525223,0.466101,0.452565,0.122714,0.37055,0.309027,0.413768,0.351816,0.453146,0.363748,0.305217,0.354335,0.351621,0.416386,0.290332,0.366028,0.395772,0.374206,0.140708,0.35635,0.306745,0.380094,0.338629,0.710259,0.633502,0.599396,0.657709,0.653768,0.67906,0.537195,0.659967,0.633133,0.648617,0.3871,0.685213,0.615133,0.684856,0.630746,0.485689,0.448975,0.448244,0.414129,0.245142,0.424049,0.285261,0.465968,0.355122,0.350333,0.093983,0.35099,0.180825,0.363551,0.240043,0.555338,0.500005,0.51749,0.487663,0.31158,0.504268,0.333625,0.544017,0.414628,0.413195,0.119295,0.436141,0.230525,0.444227,0.299949,0.418663,0.329278,0.308326,0.374124,0.303687,0.393089,0.273802,0.342282,0.357407,0.342294,0.136036,0.387445,0.240855,0.385322,0.292003,0.656279,0.558902,0.55918,0.654023,0.586739,0.62795,0.481028,0.588237,0.587816,0.589691,0.327585,0.648146,0.500506,0.647552,0.544913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.437987,0.484994,0.5253,0.346422,0.192533,0.336962,0.322167,0.507987,0.299978,0.280787,0.058149,0.190737,0.151629,0.262188,0.181608,0.544975,0.564858,0.616498,0.453281,0.284444,0.455662,0.397855,0.608447,0.389615,0.384565,0.095871,0.293511,0.229274,0.377725,0.266381,0.37187,0.383784,0.355871,0.362145,0.255708,0.342812,0.306174,0.384011,0.30876,0.281773,0.116004,0.25557,0.218034,0.312087,0.24365,0.67482,0.691166,0.666934,0.67377,0.579254,0.636381,0.575025,0.68288,0.638308,0.600501,0.43307,0.6145,0.53655,0.638492,0.563624,0.366072,0.458999,0.529935,0.371237,0.139888,0.330117,0.266984,0.503031,0.253228,0.238425,0.049643,0.211923,0.098397,0.248155,0.136898,0.489404,0.546071,0.6344,0.443045,0.233423,0.427813,0.327174,0.588404,0.369897,0.357004,0.089155,0.342828,0.177129,0.35423,0.22819,0.355519,0.360663,0.357094,0.380936,0.220639,0.347714,0.285755,0.353136,0.296173,0.271519,0.099776,0.289135,0.170972,0.313088,0.210997,0.631983,0.646417,0.649309,0.668617,0.518392,0.604583,0.526677,0.625925,0.572503,0.5485,0.309281,0.603579,0.437644,0.594899,0.482845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.42361,0.548051,0.531481,0.438466,0.175814,0.342841,0.384087,0.530248,0.281387,0.248097,0.047462,0.159775,0.123877,0.28367,0.163547,0.527999,0.636991,0.625765,0.533039,0.232769,0.427301,0.476059,0.612037,0.353513,0.321023,0.065101,0.212934,0.170456,0.359306,0.216752,0.402912,0.443424,0.388884,0.441531,0.226714,0.377463,0.367562,0.427159,0.312664,0.2674,0.068893,0.209493,0.169626,0.331207,0.211741,0.704798,0.723119,0.672478,0.7289,0.516113,0.631834,0.606348,0.696082,0.593586,0.56458,0.20772,0.528413,0.445957,0.63307,0.476758,0.356755,0.516379,0.556114,0.472029,0.128632,0.349215,0.329281,0.474974,0.244316,0.215115,0.043949,0.192433,0.083889,0.264179,0.125156,0.447602,0.601093,0.637895,0.57301,0.164281,0.423214,0.396226,0.568364,0.304779,0.275202,0.059217,0.247125,0.107874,0.330672,0.16183,0.370929,0.405555,0.389201,0.447536,0.190353,0.382122,0.334704,0.375686,0.297418,0.249425,0.072746,0.264154,0.131789,0.323465,0.183759,0.647571,0.67351,0.659127,0.717525,0.434726,0.60547,0.552661,0.629175,0.532515,0.494566,0.191005,0.558632,0.323865,0.596304,0.410198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.45851,0.542206,0.462967,0.525742,0.21343,0.410101,0.414313,0.510097,0.326523,0.275777,0.060206,0.19275,0.149056,0.352346,0.199781,0.546773,0.630917,0.554636,0.624629,0.273331,0.493542,0.482185,0.598939,0.394145,0.343062,0.07537,0.243713,0.1982,0.427762,0.259598,0.41011,0.412866,0.336481,0.471413,0.25489,0.414745,0.371629,0.396023,0.327672,0.278376,0.082346,0.23745,0.188821,0.377102,0.239017,0.675136,0.670866,0.574149,0.730737,0.475615,0.632799,0.582782,0.62528,0.541168,0.497163,0.177423,0.481617,0.3791,0.621616,0.442111,0.419273,0.536166,0.529375,0.561514,0.167387,0.418993,0.373052,0.478067,0.300548,0.254874,0.059409,0.243053,0.110306,0.330719,0.163066,0.474432,0.61884,0.601785,0.630423,0.204103,0.475768,0.423241,0.536793,0.346036,0.296716,0.072792,0.284316,0.138048,0.380259,0.201302,0.392678,0.39711,0.362502,0.467083,0.211126,0.400886,0.34869,0.359524,0.321147,0.265366,0.085742,0.288188,0.146693,0.350282,0.204218,0.625137,0.628883,0.589892,0.699334,0.38024,0.599475,0.542485,0.559422,0.51719,0.453301,0.176111,0.505628,0.280952,0.564094,0.364958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.495781,0.468101,0.44402,0.356971,0.253826,0.375842,0.313949,0.464456,0.367503,0.342392,0.08338,0.253706,0.208763,0.308957,0.244216,0.636463,0.60641,0.567617,0.495787,0.366867,0.512542,0.404161,0.607303,0.489155,0.47021,0.127611,0.37634,0.307853,0.436574,0.348641,0.425655,0.378325,0.324926,0.364097,0.317172,0.388132,0.296872,0.376303,0.370403,0.339753,0.136276,0.313202,0.271974,0.357995,0.303864,0.710076,0.700836,0.6636,0.663892,0.657125,0.651819,0.544065,0.685373,0.666683,0.65299,0.573387,0.648882,0.637829,0.661491,0.629252,0.467976,0.474778,0.491524,0.442241,0.205769,0.403373,0.297832,0.491645,0.33397,0.31434,0.076015,0.303408,0.147157,0.340762,0.203425,0.578082,0.577635,0.603357,0.554247,0.276767,0.490948,0.370489,0.577833,0.428913,0.404451,0.108005,0.402411,0.201918,0.438239,0.264867,0.403344,0.348598,0.334381,0.383431,0.273478,0.375257,0.279876,0.351771,0.347045,0.314997,0.124318,0.349833,0.21213,0.361857,0.264056,0.65804,0.636834,0.613773,0.680067,0.571946,0.619561,0.503597,0.599993,0.60175,0.587459,0.382439,0.626662,0.493515,0.63639,0.549291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
