@relation gene-weka.filters.unsupervised.attribute.Remove-R4

@attribute gene_id string
@attribute cond_id string
@attribute level {0,1}

@data
YBL064C,'aa starv 1 h',1
YCL030C,'aa starv 4 h',1
YCR005C,'aa starv 1 h',1
YDL021W,'aa starv 1 h',1
YDL083C,'aa starv 1 h',0
YDL170W,'YPD 3 d ypd-2',1
YDL198C,'aa starv 0.5 h',1
YDR471W,'YPD 1 d ypd-2',0
YEL033W,'YPD 2 d ypd-2',0
YER035W,'aa starv 0.5 h',1
YER126C,'Heat Shock 40 minutes hs-1',0
YGR019W,'YPD 1 d ypd-2',1
YGR052W,'YPD 3 d ypd-2',1
YGR158C,'YPD 1 d ypd-2',0
YHR199C,'YPD 5 d ypd-2',1
YIL096C,'Heat Shock 30 minutes hs-1',0
YIL107C,'aa starv 0.5 h',1
YJL109C,'dtt 240 min dtt-2',0
YJL125C,'YPD 1 d ypd-2',0
YJL150W,'YPD 12 h ypd-2',1
YJR070C,'YPD 1 d ypd-2',0
YKL035W,'YPD 10 h ypd-2',1
YKL096W,'YPD 10 h ypd-2',1
YKL104C,'2.5mM DTT 015 min dtt-1',1
YKL142W,'YPD 1 d ypd-2',1
YKL180W,'Nitrogen Depletion 1 d',0
YKR061W,'dtt 000 min dtt-2',0
YKR091W,'1.5 mM diamide (20 min)',1
YLL045C,'YPD 1 d ypd-2',0
YLL055W,'YPD 10 h ypd-2',1
YLR002C,'1.5 mM diamide (40 min)',0
YLR003C,'aa starv 0.5 h',0
YLR222C,'YPD 10 h ypd-2',0
YLR270W,'YPD 1 d ypd-2',1
YLR340W,'YPD 1 d ypd-2',0
YLR356W,'YPD 2 d ypd-2',1
YMR049C,'YPD 2 d ypd-2',0
YMR110C,'YPD 1 d ypd-2',1
YMR116C,'YPD 1 d ypd-2',0
YMR173W,'YPD 1 d ypd-2',1
YNL114C,'aa starv 0.5 h',0
YNL178W,'YPD 1 d ypd-2',0
YNL192W,'YPD 10 h ypd-2',0
YNR043W,'YPD 1 d ypd-2',0
YOL064C,'YPD 10 h ypd-2',0
YOL101C,'YPD 1 d ypd-2',1
YOR184W,'Nitrogen Depletion 4 h',1
YOR289W,'Nitrogen Depletion 5 d',1
YOR312C,'Nitrogen Depletion 1 h',0
YPL061W,'YPD 3 d ypd-2',0
YPL081W,'2.5mM DTT 120 min dtt-1',0
YPR004C,'YPD 3 d ypd-2',0
YPR035W,'YPD 3 d ypd-2',0
YPR144C,'YPD 10 h ypd-2',0
YPR187W,'YPD 1 d ypd-2',0
YAL003W,'1 mM Menadione (30 min) redo',0
YAL003W,'1M sorbitol - 15 min',0
YAL003W,'2.5mM DTT 120 min dtt-1',0
YAL003W,'2.5mM DTT 180 min dtt-1',0
YAL003W,'37C to 25C shock - 90 min',1
YAL003W,'DBYyap1 + 0.32 mM H2O2 (20 min)',0
YAL003W,'Nitrogen Depletion 1 d',0
YAL003W,'Nitrogen Depletion 1 h',0
YAL003W,'Nitrogen Depletion 30 min.',0
YAL003W,'Nitrogen Depletion 8 h',0
YAL003W,'YPD 10 h ypd-2',0
YAL003W,'YPD 12 h ypd-2',0
YAL003W,'YPD 2 d ypd-2',0
YAL003W,'YPD 3 d ypd-2',0
YAL003W,'YPD 5 d ypd-2',0
YAL003W,'YPD 6 h ypd-2',0
YAL003W,'YPD 8 h ypd-2',0
YAL003W,'YPD stationary phase 1 d ypd-1',0
YAL003W,'YPD stationary phase 12 h ypd-1',0
YAL003W,'YPD stationary phase 13 d ypd-1',0
YAL003W,'YPD stationary phase 2 d ypd-1',0
YAL003W,'YPD stationary phase 22 d ypd-1',0
YAL003W,'YPD stationary phase 28 d ypd-1',0
YAL003W,'YPD stationary phase 3 d ypd-1',0
