@relation KinaseInhibitor-weka.filters.unsupervised.attribute.Remove-R152-last
@attribute InhibitorIdentifier {BAY-43-9006,BIRB-796,Tarceva,EKB-569,Flavopiridol,Iressa,GW-2016,Gleevec,LY-333531,MLN-518,Roscovitine,SB202190,SB203580,SP600125,Staurosporine,SU11248,Vatalanib,VX-745,ZD-6474,CI-1033,ABT-869,AMG-706,AST-487,AZD-1152HQPA,BMS-387032/SNS-032,CHIR-258/TKI-258,CHIR-265/RAF-265,CP-690550,CP-724714,Dasatinib,GW-2580,GW-786034,JNJ-7706621,MLN-8054,PI-103,PKC-412,SB-431542,SU-14813,VX-680/MK-0457}
@attribute Primary_Target_AttributeValue {PT1,PT2,PT3,PT4,PT5,PT6,PT7}
@attribute Molecular_Structure_AttributeValue {2DCl1,2DCl2,2DCl3,2DCl4,2DCl5}
@attribute C(-C(-C(-C)(-O)))(-C(-N)) {0,1}
@attribute C(-C(-C(-N)))(-C(-O(-C))) {0,1}
@attribute C(-C(-N(-C(-C(-O(-C(-C)))))))(-C(-O(-c(:c)(:c(:c(:c(:c))))))) {0,1}
@attribute C(-C(-C)(-C(-C)))(-C(-N(-C))) {0,1}
@attribute C(-C(-C))(-C(-C(-N))(-O)) {0,1}
@attribute C(-C(-N(-C)(-C(-C))))(-N(-C(-c(:c)(:c(:c))))) {0,1}
@attribute C(-C(-N(-C)(-C(-C))))(-N(-C(=O))) {0,1}
@attribute C(-C(-C(-C))(-O(-C)))(-N(-C)) {0,1}
@attribute C(-c(:c)(:c(:c(:c(:c)))))(-N(-c(:c(:c)))) {0,1}
@attribute C(-C(-C(-C)))(-N(-C)(-C(-C))) {0,1}
@attribute C(-C(-C(-C))(-O))(-N(-C)(-C)) {0,1}
@attribute C(-N(-C))(-N(-C(-C))) {0,1}
@attribute C(-C(-C(-N(-C(-C))(-C(-C)))))(-O(-c(:c(-O(-C)))(:c(:c(:c(:c)))))) {0,1}
@attribute C(-C(-O(-C)))(-O(-C)) {0,1}
@attribute C(-C(-N))(=C(-C(=O))) {0,1}
@attribute C(-c(:c(:c(:c(:c(:c))))))(=C(-c(:c(:c(:n(:c)))))) {0,1}
@attribute C(-c(:c(:c(:c))))(=C(-c(:c(:c))(:c(:c)))) {0,1}
@attribute c(-C(-c(:c(:c))(:c(:c(:n)))))(:c(:c(:c(:c(:c))))) {0,1}
@attribute c(-C(-N(-C(-C))))(:c(:c(:c(-C)))) {0,1}
@attribute c(-C(-N(-C(-C))))(:c(:c(:c(:c(:c))))) {0,1}
@attribute c(-c(:c(:c(:c(:c)))))(:c(:c(:c(:c(:c(-Cl)))))) {0,1}
@attribute c(-c(:c(:c(:c(:c(:c))))))(:c(:c(:c(:c(:c(-C(-C))))))) {0,1}
@attribute c(-c(:c(:n(:c(:n)))))(:c(:c(:c(:c(:c))))) {0,1}
@attribute c(-c(:c(-C)))(:c(:c(:n))) {0,1}
@attribute c(-c(:c(:n(:c))))(:c(:c(:n(:c)))) {0,1}
@attribute c(-c(:o(:c(:c(:c)))))(:c(:c(:c(:c(:c))))) {0,1}
@attribute c(-C(-C)(-C))(:c(:c)) {0,1}
@attribute c(-C(-N(-C(-C)))(=O))(:c(:c(:n(:c)))) {0,1}
@attribute c(-N(-c(:c(:c(:c(-F)(:c(-Cl)(:c)))))))(:c(:c(:c(-N(-C(-C(=C))(=O)))(:c(-O(-C(-C)))(:c(:c(:n(:c)))))))) {0,1}
@attribute c(-N(-C(-C(=C(-C)))(=O)))(:c(:c(:c(:c(:c))))) {0,1}
@attribute c(-N(-c(:c(:c(:c(-C)))(:c(:c(:c))))(:n)))(:c(:c(:c(:c(:c))))) {0,1}
@attribute c(-N(-c(:c(:c(:c(:c(:c)))))))(:c(:c(:c(:c(-O(-C(-C(-C))))(:c(:c))))(:n(:c(:n))))) {0,1}
@attribute c(-N(-c(:c(:c(:c(:c(:c)))))))(:c(:c(:c(:c(-O(-C))(:c(-O(-C(-C)))(:c))))(:n(:c(:n))))) {0,1}
@attribute c(-N(-c(:c(:c(:c(:c(:c)))))))(:c(:c(:c(:c(-O(-C(-C)))(:c(-O(-C))(:c))))(:n(:c(:n))))) {0,1}
@attribute c(-O(-C(-C(-C(-N(-C(-C))(-C(-C)))))))(:c(:c(:c(:c(:c))(:c(-N(-C))(:n(:c(:n))))))) {0,1}
@attribute c(:c(-C(-N(-C))(=O)))(:c(:c(:c(:n)))) {0,1}
@attribute c(:c(-N(-C(-C))))(:c(:c(:c(:c(:c))))) {0,1}
@attribute c(:c(-N(-C(=O))))(:c(:c(:c(-C)(:c)))) {0,1}
@attribute c(:c(-N(-C(-N(-C))(=O))))(:c(:c(-O(-C(-C)))(:c(:c)))) {0,1}
@attribute c(:c(-N(-C)))(:c(:c(-Cl)(:c(:c)))) {0,1}
@attribute c(:c(-O(-C(-C(-C)))))(:c(:c(:c(:c(-O(-C))))(:c(-N(-C))(:n(:c(:n)))))) {0,1}
@attribute c(:c(:c(-C(=O))))(:c(:c(:c(-C)))) {0,1}
@attribute c(:c(:c(-C(-C))))(:c(:c(:c(:c(:c))))) {0,1}
@attribute c(:c(:c(-C(-C))))(:c(:c(:c(:c(:n))))) {0,1}
@attribute c(:c(:c(-N(-C))))(:c(:c(:c(-C)))) {0,1}
@attribute c(:c(:c(:c(-N(-C)))))(:c(:c(:c(:c(:n))))) {0,1}
@attribute c(:c(:c(:c(:c))))(:c(:c(:c(:c(:c))))) {0,1}
@attribute c(:c(:c(:c(:c(:n)))))(:c(:c(:c(:n)))) {0,1}
@attribute c(:c(:c(:c(:c(-C)))))(:c(:c(:c(:n(:c))))) {0,1}
@attribute c(:c(:c(:c(:n))))(:c(:c(:n(:c)))) {0,1}
@attribute c(:c(:c(-F)))(:c(:c(-C)(:c))) {0,1}
@attribute c(:c(:c(:c(:c(:c)))))(:c(:c(-N(-C(=O)))(:c))) {0,1}
@attribute c(:c(-C(-C)))(:c(:n(-C))) {0,1}
@attribute c(:c(-C(-C)))(:c(:n(:c))) {0,1}
@attribute c(:c(-C(-N(-C))))(:c(:n(:c(:c)))) {0,1}
@attribute c(:c(-C(-C)))(:c(:n(:n))) {0,1}
@attribute c(:c(-N(-C(-C))))(:c(:n(:c(:n)))) {0,1}
@attribute c(:c(:c(:n)))(:c(:n)) {0,1}
@attribute c(:c(:c(:c(-C)(:c))))(:c(:n(:n(:c)))) {0,1}
@attribute c(:c(:n))(:c(:n(-C))) {0,1}
@attribute c(:c(-N(-C)))(:c(-C)(:c(:c(:c)))) {0,1}
@attribute c(:c(:c(-N)(:c)))(:c(-C)(:c)) {0,1}
@attribute c(:c(:c(-F)(:c)))(:c(-C)(:c)) {0,1}
@attribute c(:c(:c(:n(:c))))(:c(-C)(:c(:c(:c(:n))))) {0,1}
@attribute c(:c(:c(:c)))(:c(-N(-C))(:c(-C))) {0,1}
@attribute c(:c(:c(-O)(:c)))(:c(:c)(:c(:c(:c)))) {0,1}
@attribute c(:c(:c(:c)))(:c(:c(-N(-C)))(:c(:c))) {0,1}
@attribute c(:c(-C(=O))(:c))(:c(-C)(:n)) {0,1}
@attribute c(:c(:c))(:n(:c(-C))) {0,1}
@attribute c(:c(:c)(:n(:c)))(:n(-C(-C)(-C))) {0,1}
@attribute C(-C(-N)(=O))(-c(:c(:c(:c(:c(:c))))))(=C(-c(:c(:c(:c))))) {0,1}
@attribute C(-C)(-C)(=O) {0,1}
@attribute c(-c(:c(:c(:n)))(:n))(:c)(:c(:c(:c))) {0,1}
@attribute c(-c(:c(:c)))(:c(:c(:c)))(:c(:n)) {0,1}
@attribute c(-C)(:c(-C))(:n(:c(-C))) {0,1}
@attribute N(-C(-C(-C)))(-C(-C(-C))) {0,1}
@attribute N(-C(-N(-c(:c(:c(-C)))))(=O))(-c(:c(:c(:c(-O(-C))(:c(:c)))))) {0,1}
@attribute S(-C)(-C)(=O) {0,1}
@attribute MolecularWeight numeric
@attribute MolecularFormula_C numeric
@attribute MolecularFormula_H numeric
@attribute MolecularFormula_N numeric
@attribute MolecularFormula_O numeric
@attribute MolecularFormula_F numeric
@attribute MolecularFormula_S numeric
@attribute MolecularFormula_Cl numeric
@attribute MolecularFormula_Br numeric
@attribute XLogP numeric
@attribute HydrogenBondDonorCount numeric
@attribute HydrogenBondAcceptorCount numeric
@attribute RotatableBondCount numeric
@attribute TautomerCount numeric
@attribute TopologicalPolarSurfaceArea numeric
@attribute X-Length numeric
@attribute Y-Length numeric
@attribute Flaecheninhalt numeric
@attribute Umfang numeric
@attribute Diagonale numeric
@attribute PharmacophoricFingerprint0 numeric
@attribute PharmacophoricFingerprint1 numeric
@attribute PharmacophoricFingerprint2 numeric
@attribute PharmacophoricFingerprint3 numeric
@attribute PharmacophoricFingerprint4 numeric
@attribute PharmacophoricFingerprint5 numeric
@attribute PharmacophoricFingerprint6 numeric
@attribute PharmacophoricFingerprint7 numeric
@attribute PharmacophoricFingerprint8 numeric
@attribute PharmacophoricFingerprint9 numeric
@attribute PharmacophoricFingerprint10 numeric
@attribute PharmacophoricFingerprint11 numeric
@attribute PharmacophoricFingerprint12 numeric
@attribute PharmacophoricFingerprint13 numeric
@attribute PharmacophoricFingerprint14 numeric
@attribute PharmacophoricFingerprint15 numeric
@attribute PharmacophoricFingerprint16 numeric
@attribute PharmacophoricFingerprint17 numeric
@attribute PharmacophoricFingerprint18 numeric
@attribute PharmacophoricFingerprint19 numeric
@attribute PharmacophoricFingerprint20 numeric
@attribute PharmacophoricFingerprint21 numeric
@attribute PharmacophoricFingerprint22 numeric
@attribute PharmacophoricFingerprint23 numeric
@attribute PharmacophoricFingerprint24 numeric
@attribute PharmacophoricFingerprint25 numeric
@attribute PharmacophoricFingerprint26 numeric
@attribute PharmacophoricFingerprint27 numeric
@attribute PharmacophoricFingerprint28 numeric
@attribute PharmacophoricFingerprint29 numeric
@attribute PharmacophoricFingerprint30 numeric
@attribute PharmacophoricFingerprint31 numeric
@attribute PharmacophoricFingerprint32 numeric
@attribute PharmacophoricFingerprint33 numeric
@attribute PharmacophoricFingerprint34 numeric
@attribute PharmacophoricFingerprint35 numeric
@attribute PharmacophoricFingerprint36 numeric
@attribute PharmacophoricFingerprint37 numeric
@attribute PharmacophoricFingerprint38 numeric
@attribute PharmacophoricFingerprint39 numeric
@attribute PharmacophoricFingerprint40 numeric
@attribute PharmacophoricFingerprint41 numeric
@attribute PharmacophoricFingerprint42 numeric
@attribute PharmacophoricFingerprint43 numeric
@attribute PharmacophoricFingerprint44 numeric
@attribute PharmacophoricFingerprint45 numeric
@attribute PharmacophoricFingerprint46 numeric
@attribute PharmacophoricFingerprint47 numeric
@attribute PharmacophoricFingerprint48 numeric
@attribute PharmacophoricFingerprint49 numeric
@data

ABT-869,PT4,2DCl2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375.398923,21,18,5,1,1,0,0,0,3.9,4,4,3,21,95.8,7.5966,10.74,81.587484,36.6732,13.155072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.877471,1.732038,3.877471,1.732038,1,1.732038,1.732,5.607647,5.038684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMG-706,PT4,2DCl2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,373.45092,22,23,5,1,0,0,0,0,3.9,3,5,5,7,78.9,9.7236,7.12,69.232032,33.6872,12.051672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.549677,6.279338,3.549677,6.279338,1,2.999934,1.732038,6.279338,4.599238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AST-487,PT6,2DCl5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,529.55731,26,30,7,2,3,0,0,0,3.8,3,10,8,9,94.7,14.0642,11.12,156.393904,50.3684,17.929197,0,0,0,0,0,1,4.358918,1.732038,4.358918,6.557476,1,4.358918,4.582574,4.358918,5.567715,1,1.732088,4.58255,7.211099,11.999996,1,1.732088,1.732038,11.999996,9.165149,1,1.732088,0,11.999996,7.211099,0,0,0,0,0,1,1.999956,4.582574,1.999956,8.717826,1,1.999956,0,1.999956,11.135564,1,1.732038,4.582574,9.165149,9.165149
AZD-1152HQPA,PT7,2DCl5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,507.559903,26,30,7,3,1,0,0,0,3,4,9,13,22,128,13.1952,12.3438,162.87891,51.078,18.068832,0,0,0,0,0,1,7.666256,3.464126,7.666256,9.314004,1,7.666256,3.464126,7.666256,3.464126,1,7.625303,11.767268,7.625303,11.767268,1,4.852896,3.409214,11.767268,10.037621,1,4.852896,0,11.767268,7.625303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.7321,3.464126,10.037621,10.037621
BAY-43-9006,PT7,2DCl5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,464.825,21,16,4,3,3,0,1,0,3.8,3,7,5,6,92.3,10.0632,11.12,111.902784,42.3664,14.997413,1,4.358879,3.60555,4.358879,3.60555,1,3.60555,1.732,5.999955,8.660241,0,0,0,0,0,1,1.732038,5.567743,5.567743,11.78986,1,1.732038,1.732,11.78986,10.14887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIRB-796,PT1,2DCl4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,527.657,31,37,5,3,0,0,0,0,5.1,2,6,8,7,80.7,9.1221,14.1068,128.68364,46.4578,16.799241,1,4.582574,7.21109,4.582574,7.21109,1,4.358918,1.999956,7.21109,8.888172,1,4.358918,1.999956,7.21109,2.645784,1,7.549832,6.245012,7.549832,6.245012,1,1.732088,1.732038,7.549832,8.888172,1,1.732088,0,7.549832,7.549832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.732038,1.999956,8.888172,6
BMS-387032/SNS-032,PT5,2DCl5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380.52806,17,24,4,2,0,2,0,0,3,2,5,6,3,80.1,4.2533,13.3492,56.778152,35.205,14.010414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.605545,3.605545,3.605545,3.605545,1,3.605545,0,3.605545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.732,3.605545,3.605545,3.605545
CHIR-258/TKI-258,PT6,2DCl5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392.429443,21,21,6,1,1,0,0,0,1.6,3,7,1,22,86,12.6287,5.3292,67.300868,35.9158,13.707094,1,5.179963,1.732,5.179963,1.732,1,1.732,1.835159,6.629275,6.865247,1,1.732,2,6.629275,6.865247,1,5.41007,5.975463,5.41007,5.975463,1,1.609503,1.835159,5.975463,8.436521,1,1.609503,0,5.975463,5.41007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.835159,2,8.436521,8.436521
CHIR-265/RAF-265,PT4,2DCl5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,518.413859,24,16,6,1,6,0,0,0,5.4,2,11,5,6,80.7,13.861,6.6747,92.518017,41.0714,15.384373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CI-1033,PT2,2DCl2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,485.938,24,25,5,3,1,0,1,0,2.7,2,8,9,6,88.6,10.9959,10.0295,110.283379,42.0508,14.882899,1,5.291502,5.196164,5.291502,5.196164,1,0.999978,2,5.291502,13.257891,1,0.999978,2.000043,5.291502,3.464076,1,5.291486,3.464055,11.389737,7.974118,1,3.464055,1.732038,11.389737,13.257891,1,3.464055,0,11.389737,11.389737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.732038,2.000043,13.257891,3.605545
CP-690550,PT7,2DCl4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,312.3696,16,20,6,1,0,0,0,0,1.5,1,5,3,3,88.9,9.078,5.931,53.841618,30.018,10.843747,1,1.732038,2.645775,3.60555,3.60555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CP-724714,PT3,2DCl5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,469.53498,27,27,5,3,0,0,0,0,4.3,2,7,9,6,98.3,17.5478,7.2944,128.000672,49.6844,19.003514,1,12.501357,10.590468,12.501357,10.590468,1,2.000043,2.645775,12.501357,10.16829,0,0,0,0,0,0,0,0,0,0,1,6.269223,4.000037,6.269223,8.738065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dasatinib,PT6,2DCl5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,488.00554,22,26,7,2,0,1,1,0,3.6,3,8,7,11,107,4.8655,15.1694,73.806716,40.0698,15.930593,0,0,0,0,0,1,6.253114,1.000076,6.253114,8.250735,1,6.253114,8.250735,6.253114,8.250735,1,4.852976,1.99995,9.100868,9.320844,1,1.99995,1.000076,9.320844,8.250735,1,1.99995,0,9.320844,9.100868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.000076,2,8.250735,8.250735
EKB-569,PT3,2DCl2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,467.923,24,23,5,2,1,0,1,0,3.6,2,7,8,6,90.3,12.6543,7.0914,89.736703,39.4914,14.505835,1,1.000065,6.62711,1.000065,6.62711,1,1.000065,1.732088,7.280317,8.208464,1,1.000065,3.60555,7.280317,4.582645,1,3.464104,6.576225,6.576225,10.542425,1,3.464104,1.732088,10.542425,8.208464,1,3.464104,4.358971,10.542425,10.542425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.732088,3.60555,10.506762,10.506762
