@relation cellines-weka.filters.unsupervised.attribute.StringToNominal-Rfirst

@attribute id {786-0,A549/ATCC,ACHN,CCRF-CEM,COLO-205,EKVX,HCT-116,HCT-15,HOP-62,HT29,IGROV1,K-562,KM12,LOX-IMVI,M14,MALME-3M,MOLT-4,NCI-H23,OVCAR-3,OVCAR-4,OVCAR-5,OVCAR-8,SF-268,SF-295,SF-539,SK-MEL-28,SK-MEL-5,SK-OV-3,SN12C,SNB-19,SNB-75,SW-620,TK-10,U251,UACC-257,UACC-62,UO-31}
@attribute biologicalFeature_0 numeric
@attribute biologicalFeature_1 numeric
@attribute biologicalFeature_2 numeric
@attribute biologicalFeature_3 numeric
@attribute biologicalFeature_4 numeric
@attribute biologicalFeature_5 numeric
@attribute biologicalFeature_6 numeric
@attribute biologicalFeature_7 numeric
@attribute biologicalFeature_8 numeric
@attribute biologicalFeature_9 numeric
@attribute biologicalFeature_10 numeric
@attribute biologicalFeature_11 numeric
@attribute biologicalFeature_12 numeric
@attribute biologicalFeature_13 numeric
@attribute biologicalFeature_14 numeric

@data
786-0,-1.4625,-2.04843,-3.52722,-1.45872,-0.509446,-1.71253,-0.14561,-0.746989,-0.197478,0.160965,-0.0397,0.039762,0.216582,0.389701,0.276339
A549/ATCC,-1.06997,0.28591,-3.41371,-0.904212,-1.81365,-1.82903,-0.583134,-0.528657,-0.292596,-0.186442,-0.131517,0.206075,0.131394,-0.014943,0.164208
ACHN,-1.00775,-1.80668,-3.24866,-1.47606,-0.75123,-1.93163,0.261271,-0.807241,-0.04636,0.199567,0.20588,0.317182,0.256585,0.604485,0.27746
CCRF-CEM,-2.90592,-2.97506,-3.90509,-2.15317,-3.81132,-3.51398,-2.85412,-0.706493,0.356714,-1.29764,-0.383184,0.523483,-2.87346,-1.4275,-0.347728
COLO-205,0.756484,2.62073,-4.07717,-1.47088,-4.04631,-3.93391,-2.75015,-0.115473,0.07012,-1.63574,0.325197,0.516636,0.005132,-2.64334,-0.382658
EKVX,-0.836654,-0.509452,-3.29962,-0.534861,-2.03197,-1.29825,-0.62581,-0.423107,-0.292638,-0.076738,0.161855,0.310844,0.161322,0.027675,0.401172
HCT-116,-0.402157,-2.11269,-3.2153,-1.57599,-2.86757,-2.98035,-1.64782,-0.583365,-0.184888,-0.721164,-0.010543,0.35943,-0.214505,-0.6018,0.012458
HCT-15,0.207117,-1.55117,-3.69049,-1.72498,-3.33971,-3.25923,-2.09525,-0.513504,0.120886,-0.814483,0.032009,0.477158,-0.170348,-1.61139,-0.070567
HOP-62,-2.27872,-2.67028,-4.16301,-1.51508,-1.06899,-0.419817,0.290623,-0.799204,-0.140632,0.229105,-0.272042,0.079083,0.215604,0.183921,0.379598
HT29,0.308083,0.867183,-4.43019,-1.9166,-4.1459,-4.31143,-3.0591,-0.743041,0.058214,-1.25993,-0.103747,0.413409,0.096486,-2.59848,-0.300438
IGROV1,0.121421,-1.79989,-2.79008,-1.03232,-2.08553,-2.37541,-1.17806,-0.489719,-0.227658,-0.269298,0.079581,0.432525,-0.169828,-0.385079,-0.059033
K-562,-2.60188,-1.89986,-1.41101,-1.66659,-3.41375,-3.63885,-2.03625,-0.288054,-0.080709,-1.31695,-0.485647,-0.0143,-1.91746,-1.38867,-0.783429
KM12,0.615597,0.833656,-3.20293,-1.34112,-2.89287,-3.06191,-2.03842,-0.098714,0.161688,-0.714039,0.330571,0.61438,0.313322,-1.74818,-0.317341
LOX-IMVI,-3.31001,-2.74231,-3.16185,-1.45136,-0.584502,-2.17283,-0.272114,-0.653115,-0.148904,-0.042471,-0.089051,0.058196,-0.075693,0.284501,0.141536
M14,-3.2331,-2.76982,-3.69364,-1.98629,0.161762,-2.69121,-1.66296,-0.178528,-0.698228,-0.304962,1.41401,0.485888,-0.365467,0.862809,0.407206
MALME-3M,-2.95615,-2.00134,-3.27418,-1.49454,-0.290794,-2.65316,-1.61569,-0.307425,-0.685074,-0.434298,1.67056,0.543917,-0.347986,1.17234,0.511481
MOLT-4,-3.60468,-3.65732,-3.96534,-2.49676,-4.45578,-3.71899,-3.01868,-0.782064,0.431621,-1.72556,-0.818129,0.320323,-3.08368,-1.79228,-0.690506
NCI-H23,-2.92418,-3.16756,-4.34793,-1.20423,-3.31734,-2.51033,-1.68553,-0.710296,-0.321709,-0.407541,-0.106437,0.382365,-0.345762,-0.233749,0.226825
OVCAR-3,0.886819,0.271008,-2.72848,-0.063858,-2.58071,-1.78972,-0.824258,-0.22007,-0.033266,-0.226364,0.072501,0.10621,-0.285501,-0.580765,-0.173102
OVCAR-4,1.07706,-1.37382,-2.7087,0.25148,-1.71445,-1.60965,-0.591386,-0.15942,-0.057545,0.036029,0.06531,-0.04556,0.017547,-0.405711,0.005219
OVCAR-5,-0.805711,-2.28019,-3.58722,-1.20881,-2.70459,-2.51698,-1.0713,-0.578864,-0.073066,-0.004511,0.043157,0.405018,0.392944,-0.02992,0.152961
OVCAR-8,-1.28192,-3.61757,-4.36223,-1.25598,-1.68732,-1.12561,0.114347,-0.988833,-0.042001,0.311227,-0.243047,0.076742,0.03165,0.317602,0.196172
SF-268,-4.02716,-3.77311,-4.80382,-1.68633,-0.664108,-0.22124,0.070528,-1.01454,-0.702508,0.228227,-0.241513,0.029631,-0.457043,0.205859,0.499695
SF-295,-2.82918,-2.28425,-3.30834,-1.21673,-0.945617,-0.696879,0.251219,-0.462005,-0.306262,0.059233,0.197657,0.060081,-0.061351,0.451116,0.433318
SF-539,-2.90879,-3.10386,-3.43929,-1.4806,-0.526683,-1.19133,0.300606,-0.513221,-0.183032,0.505261,0.131259,0.202357,-0.196242,0.377214,0.691494
SK-MEL-28,-3.19584,-2.21983,-3.63195,-1.99666,0.844893,-3.05737,-2.04735,-0.423299,-0.745076,-0.59978,1.62833,0.543727,-0.310612,1.39125,0.448227
SK-MEL-5,-3.94526,-2.37837,-4.13403,-1.98761,-1.4027,-4.00692,-2.32667,-0.356869,-0.837749,-1.11946,1.94605,0.823428,-0.585846,0.761573,0.241444
SK-OV-3,0.35209,-2.13561,-3.85116,-1.00218,-2.48796,-2.05159,-0.132672,-0.67677,-0.038598,0.140162,-0.030426,0.110222,0.079573,0.170598,0.300545
SN12C,-3.72542,-4.30302,-4.8798,-2.22106,-3.55588,-1.35849,-0.702105,-1.37413,-0.521167,-0.101768,-0.175354,0.06026,-0.015467,-0.019344,0.535949
SNB-19,-3.86097,-3.00115,-4.01839,-1.7835,-1.40202,-1.07252,0.089792,-0.53572,-0.383631,0.23235,0.026284,-0.059112,-0.179488,0.464667,0.422365
SNB-75,-3.13461,-2.89381,-2.98143,-0.952775,0.288527,0.002132,0.128099,-0.074519,-0.54431,0.604996,0.307709,0.103539,-0.123914,0.885976,0.751835
SW-620,0.057288,-0.879498,-4.12546,-1.65936,-3.03938,-3.78477,-2.49373,-0.360954,0.232657,-1.16788,-0.012613,0.501978,-0.528052,-1.29375,-0.332684
TK-10,-0.684913,-2.78109,-4.33031,-1.52018,-0.780669,-2.18548,-0.042974,-0.806138,-0.00226,0.259964,0.061696,0.340451,0.298811,0.52529,0.233646
U251,-2.4977,-3.08483,-4.1465,-1.40774,-1.1855,-0.788088,-0.041118,-0.4152,-0.281046,0.248926,0.060188,0.034779,-0.115394,0.446602,0.424915
UACC-257,-3.14842,-1.78645,-3.18545,-1.46189,-0.436642,-2.90479,-2.04991,-0.367847,-0.63723,-0.894491,1.52385,0.438233,-0.715395,0.762074,0.224077
UACC-62,-4.10688,-3.26637,-4.17073,-2.20652,-0.638648,-3.01679,-1.53358,-0.298045,-0.758772,-0.321657,1.40652,0.38976,-0.186562,1.22745,0.546469
UO-31,-0.676928,-2.55961,-4.38616,-1.59349,-0.490568,-0.809537,0.5143,-0.890815,0.009369,0.475671,0.060321,0.258872,0.531372,0.677232,0.371716
