@relation substances_labels-weka.filters.unsupervised.attribute.Discretize-D-F-B2-M-1.0-R2-last-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R20-56

@attribute id numeric
@attribute chemicalFeature_0 numeric
@attribute chemicalFeature_1 numeric
@attribute chemicalFeature_2 numeric
@attribute chemicalFeature_3 numeric
@attribute chemicalFeature_4 numeric
@attribute chemicalFeature_5 numeric
@attribute chemicalFeature_6 numeric
@attribute chemicalFeature_7 numeric
@attribute chemicalFeature_8 numeric
@attribute chemicalFeature_9 numeric
@attribute chemicalFeature_10 numeric
@attribute chemicalFeature_11 numeric
@attribute chemicalFeature_12 numeric
@attribute chemicalFeature_13 numeric
@attribute chemicalFeature_14 numeric
@attribute chemicalFeature_15 numeric
@attribute chemicalFeature_16 numeric
@attribute chemicalFeature_17 numeric

@data
660427,0.083359,0.05606,0.01546,0.027328,0.011217,0.046534,0.083359,0.057868,0.01552,0.04839,0.070801,0.066679,0.891895,0.336741,0.097795,0.12746,0.468096,0.181843
645238,0.013712,0.010871,0.005849,0.017195,0.011813,0.013346,0.013712,0.010891,0.005855,0.018522,0.014098,0.01494,0.098375,0.113224,0.019051,0.10171,0.120035,0.200053
672882,0.03907,0.053767,0.046038,0.039908,0.066673,0.052642,0.043481,0.053767,0.090197,0.043246,0.0685,0.053202,0.188687,0.166367,0.103488,0.226605,0.277032,0.281825
45114,0.055566,0.07032,0.034885,0.115387,0.048329,0.05174,0.081982,0.078953,0.034952,0.115387,0.083346,0.062515,0.428578,0.379755,0.134559,0.518524,0.629634,0.240973
680417,0.05103,0.074579,0.060346,0.061231,0.025425,0.05103,0.061865,0.080003,0.062142,0.063295,0.07408,0.051556,0.336289,0.369236,0.170457,0.166207,0.680416,0.907217
356903,0.029426,0.060613,0.039273,0.108813,0.046127,0.015889,0.029865,0.0637,0.039311,0.127074,0.05933,0.043492,0.395356,0.435905,0.140247,0.555561,0.350007,0.204554
677062,0.013252,0.08696,0.114844,0.031253,0.031453,0.006856,0.01334,0.087809,0.130224,0.0824,0.055842,0.019743,0.433964,0.381682,0.432604,0.474229,0.38608,0.092788
623091,0.03001,0.035721,0.05518,0.062689,0.085116,0.063499,0.042267,0.064015,0.055233,0.062689,0.085391,0.078139,0.34178,0.275596,0.08286,0.28659,0.314055,0.232331
624445,0.02598,0.030933,0.098736,0.087304,0.057148,0.042025,0.032008,0.075834,0.098849,0.087304,0.060817,0.050005,0.451132,0.198899,0.114065,0.534355,0.349797,0.257581
623795,0.057152,0.120487,0.076774,0.134288,0.067235,0.028046,0.057152,0.129089,0.076774,0.134288,0.108501,0.035407,0.409453,0.311228,0.176473,0.369569,0.340746,0.198535
