,soft_id,geneOntology,uniprot,ensemble human,entrez gene,ncbi,GSM433776,GSM433777,GSM433778,GSM433779,GSM433780,GSM433781,GSM433782,GSM433783,GSM433784
2458742,2458742,GO:0007049,C9J5J4,ENSG00000183814,286826,,8.580185867,8.83864853,8.674479901,8.652669946,8.655976334,8.596882427,8.469938367,8.489424768,8.534653635
2457842,2457842,GO:0007507,B4DG66,ENSG00000143514,7159,,9.150603387,9.571562288,9.298153348,9.153373127,9.068409777,9.409209764,8.934607649,9.370522593,9.188707606
2320347,2320347,GO:0005515,B7Z1P2,ENSG00000132879,93611,,9.359943885,9.491818852,9.438079877,9.342058658,9.765809528,9.700992603,9.506025923,9.320172391,9.436710017
2496280,2496280,GO:0005737,Q9H2J4,ENSG00000115539,79031,,8.818577692,9.185642368,9.111917127,9.115669508,8.949332039,8.970385129,8.863184879,8.755943573,8.824997574
3949055,3949055,GO:0004808,B4DZN5,ENSG00000100416,55687,,9.348538256,9.651470221,8.932604864,8.991439324,9.520727292,8.963339918,9.055486835,9.13787499,9.340742508
3770606,3770606,GO:0005634,Q9UK76,ENSG00000189159,51155,,9.329703149,9.705426735,9.740364127,9.843005428,9.453836538,9.321637071,9.040830327,8.959201522,9.029756329
2472651,2472651,GO:0005515,Q53T86,ENSG00000119771,114818,,9.147484593,8.973275376,8.772141877,8.683509753,8.827801758,8.737628916,8.646709214,9.055089099,8.841629992
2738697,2738697,GO:0005506,Q7Z449,ENSG00000155016,113612,,8.773042997,8.901174784,8.936258354,8.628475911,8.676051651,8.913382963,9.006240632,8.668479917,8.713033517
2817576,2817576,GO:0050731,P35443,ENSG00000113296,7060,,8.684223939,8.561438056,8.542563848,8.52225202,8.553395281,8.631533674,8.52558652,8.622381541,8.561694888
3365487,3365487,GO:0043687,B4DWH4,ENSG00000151116,55293,,9.308675934,9.227367106,9.27146317,9.310479375,9.473020962,9.354312882,9.461323063,8.865572913,9.001479839
2391744,2391744,GO:0006355,A4VCI5,ENSG00000008128,100294398,,9.010884551,9.125541803,8.930786236,9.178288573,9.007089905,8.920635985,8.889361731,9.281335798,8.947764445
2503257,2503257,GO:0060279,Q53T31,ENSG00000163083,3625,,9.050733481,8.828290597,8.789522601,8.977939225,8.896817873,8.836196014,8.824793688,9.014116527,8.921676437
3270840,3270840,GO:0006281,B4DEE8,ENSG00000170430,4255,,9.015730825,9.071794577,8.972938255,8.989536906,8.794505208,9.021930011,9.055329111,9.159413593,9.099730803
2383726,2383726,GO:0005886,P84077,ENSG00000143761,375,,10.0067683,9.606419672,9.425625574,9.685190433,9.674665554,9.50674788,9.4802635,10.03145504,9.871733064
3347615,3347615,GO:0009725,P24752,ENSG00000075239,38,,9.026363195,9.208563616,9.320001291,9.125735541,9.375819516,9.097014752,9.185220562,8.80305347,9.189008914
2392095,2392095,,Q7Z4P6,ENSG00000162585,199990,,9.515289939,9.151921124,9.123834078,9.2179055,9.380607442,9.216424384,9.306735647,9.636678714,9.381960196
4019570,4019570,GO:0000398,Q0VAK7,ENSG00000125351,65109,,8.4050925,8.415097262,8.38796524,8.494984458,8.450340991,8.290514177,8.334419514,8.376765817,8.403019828
3756416,3756416,GO:0005198,Q2M2I5,ENSG00000167916,192666,,8.669236837,8.547170724,8.539428396,8.627646537,8.554318221,8.540686658,8.524976724,8.702617861,8.562917356
