k	t	bipart	threshold	tp	tn	fp	fn	fmeasure	tprate	fprate	precision	recall	fallcout	acc
59	0,1	false	0,06	21	29198	12	24029	0,0017	0,0009	0,0004	0,6364	0,0009	0,3636	0,5486
59	0,1	true	1,00	13942	19163	10047	10108	0,5804	0,5797	0,3440	0,5812	0,5797	0,4188	0,6216
59	0,2	false	0,07	0	29207	3	24050	0,0000	0,0000	0,0001	0,0000	0,0000	1,0000	0,5484
59	0,2	true	1,00	11552	20875	8335	12498	0,5258	0,4803	0,2853	0,5809	0,4803	0,4191	0,6088
59	0,3	false	0,07	6	29201	9	24044	0,0005	0,0002	0,0003	0,4000	0,0002	0,6000	0,5484
59	0,3	true	1,00	11156	21393	7817	12894	0,5186	0,4639	0,2676	0,5880	0,4639	0,4120	0,6111
59	0,4	false	0,12	2	29205	5	24048	0,0002	0,0001	0,0002	0,2857	0,0001	0,7143	0,5484
59	0,4	true	1,00	10716	21758	7452	13334	0,5077	0,4456	0,2551	0,5898	0,4456	0,4102	0,6097
59	0,7	false	0,50	165	29133	77	23885	0,0136	0,0069	0,0026	0,6818	0,0069	0,3182	0,5501
59	0,7	true	1,00	12898	19920	9290	11152	0,5579	0,5363	0,3180	0,5813	0,5363	0,4187	0,6162
59	0,8	false	0,50	364	28994	216	23686	0,0296	0,0151	0,0074	0,6276	0,0151	0,3724	0,5512
59	0,8	true	1,00	13197	19660	9550	10853	0,5640	0,5487	0,3269	0,5802	0,5487	0,4198	0,6169
59	0,9	false	0,50	419	29001	209	23631	0,0340	0,0174	0,0072	0,6672	0,0174	0,3328	0,5524
59	0,9	true	1,00	14717	18763	10447	9333	0,5981	0,6119	0,3577	0,5848	0,6119	0,4152	0,6286
60	0,1	false	0,04	11	29199	11	24039	0,0009	0,0005	0,0004	0,5000	0,0005	0,5000	0,5484
60	0,1	true	1,00	13519	19304	9906	10531	0,5695	0,5621	0,3391	0,5771	0,5621	0,4229	0,6163
60	0,2	false	0,07	7	29199	11	24043	0,0006	0,0003	0,0004	0,3889	0,0003	0,6111	0,5484
60	0,2	true	1,00	11674	20607	8603	12376	0,5267	0,4854	0,2945	0,5757	0,4854	0,4243	0,6061
60	0,3	false	0,08	0	29209	1	24050	0,0000	0,0000	0,0000	0,0000	0,0000	1,0000	0,5484
60	0,3	true	1,00	11335	21175	8035	12715	0,5221	0,4713	0,2751	0,5852	0,4713	0,4148	0,6104
60	0,4	false	0,16	7	29207	3	24043	0,0006	0,0003	0,0001	0,7000	0,0003	0,3000	0,5485
60	0,4	true	1,00	9778	22411	6799	14272	0,4814	0,4066	0,2328	0,5899	0,4066	0,4101	0,6044
60	0,7	false	0,50	104	29170	40	23946	0,0086	0,0043	0,0014	0,7222	0,0043	0,2778	0,5496
60	0,7	true	1,00	12763	20353	8857	11287	0,5589	0,5307	0,3032	0,5903	0,5307	0,4097	0,6218
60	0,8	false	0,50	410	29026	184	23640	0,0333	0,0170	0,0063	0,6902	0,0170	0,3098	0,5527
60	0,8	true	1,00	14956	18840	10370	9094	0,6058	0,6219	0,3550	0,5905	0,6219	0,4095	0,6345
60	0,9	false	0,50	421	28988	222	23629	0,0341	0,0175	0,0076	0,6547	0,0175	0,3453	0,5522
60	0,9	true	1,00	15008	18677	10533	9042	0,6053	0,6240	0,3606	0,5876	0,6240	0,4124	0,6325
61	0,1	false	0,04	24	29184	26	24026	0,0020	0,0010	0,0009	0,4800	0,0010	0,5200	0,5484
61	0,1	true	1,00	14365	18753	10457	9685	0,5879	0,5973	0,3580	0,5787	0,5973	0,4213	0,6218
61	0,2	false	0,05	13	29203	7	24037	0,0011	0,0005	0,0002	0,6500	0,0005	0,3500	0,5486
61	0,2	true	1,00	11746	20547	8663	12304	0,5284	0,4884	0,2966	0,5755	0,4884	0,4245	0,6063
61	0,3	false	0,08	15	29207	3	24035	0,0012	0,0006	0,0001	0,8333	0,0006	0,1667	0,5487
61	0,3	true	1,00	10671	21827	7383	13379	0,5069	0,4437	0,2528	0,5911	0,4437	0,4089	0,6102
61	0,4	false	0,15	13	29197	13	24037	0,0011	0,0005	0,0004	0,5000	0,0005	0,5000	0,5484
61	0,4	true	1,00	11257	20885	8325	12793	0,5160	0,4681	0,2850	0,5749	0,4681	0,4251	0,6035
61	0,7	false	0,50	61	29174	36	23989	0,0051	0,0025	0,0012	0,6289	0,0025	0,3711	0,5489
61	0,7	true	1,00	12845	19746	9464	11205	0,5542	0,5341	0,3240	0,5758	0,5341	0,4242	0,6119
61	0,8	false	0,50	410	29004	206	23640	0,0332	0,0170	0,0071	0,6656	0,0170	0,3344	0,5523
61	0,8	true	1,00	14522	19026	10184	9528	0,5957	0,6038	0,3486	0,5878	0,6038	0,4122	0,6299
61	0,9	false	0,50	352	29040	170	23698	0,0287	0,0146	0,0058	0,6743	0,0146	0,3257	0,5519
