k	t	bipart	threshold	tp	tn	fp	fn	fmeasure	tprate	fprate	precision	recall	fallout	acc
59	0,1	true	1,00	15752	18852	10358	8298	0,6281	0,6550	0,3546	0,6033	0,6550	0,3967	0,6497
59	0,1	false	0,02	16108	18822	10388	7942	0,6374	0,6698	0,3556	0,6079	0,6698	0,3921	0,6558
59	0,2	true	1,00	14131	20560	8650	9919	0,6035	0,5876	0,2961	0,6203	0,5876	0,3797	0,6514
59	0,2	false	0,03	123	29167	43	23927	0,0102	0,0051	0,0015	0,7410	0,0051	0,2590	0,5499
59	0,3	true	1,00	14253	20345	8865	9797	0,6044	0,5926	0,3035	0,6165	0,5926	0,3835	0,6496
59	0,3	false	0,04	79	29175	35	23971	0,0065	0,0033	0,0012	0,6930	0,0033	0,3070	0,5493
59	0,4	true	1,00	12211	21966	7244	11839	0,5614	0,5077	0,2480	0,6277	0,5077	0,3723	0,6417
59	0,4	false	0,06	3	29208	2	24047	0,0002	0,0001	0,0001	0,6000	0,0001	0,4000	0,5485
59	0,7	true	1,00	13012	21354	7856	11038	0,5794	0,5410	0,2689	0,6235	0,5410	0,3765	0,6452
59	0,7	false	0,06	0	29209	1	24050	0,0000	0,0000	0,0000	0,0000	0,0000	1,0000	0,5484
59	0,8	false	0,06	0	29209	1	24050	0,0000	0,0000	0,0000	0,0000	0,0000	1,0000	0,5484
59	0,8	true	1,00	13501	20476	8734	10549	0,5834	0,5614	0,2990	0,6072	0,5614	0,3928	0,6379
59	0,9	false	0,11	5	29209	1	24045	0,0004	0,0002	0,0000	0,8333	0,0002	0,1667	0,5485
59	0,9	true	1,00	13158	20677	8533	10892	0,5753	0,5471	0,2921	0,6066	0,5471	0,3934	0,6353
60	0,1	false	0,03	31	29195	15	24019	0,0026	0,0013	0,0005	0,6739	0,0013	0,3261	0,5487
60	0,1	true	1,00	16130	18687	10523	7920	0,6363	0,6707	0,3603	0,6052	0,6707	0,3948	0,6537
60	0,2	false	0,03	122	29133	77	23928	0,0101	0,0051	0,0026	0,6131	0,0051	0,3869	0,5493
60	0,2	true	1,00	14030	20789	8421	10020	0,6034	0,5834	0,2883	0,6249	0,5834	0,3751	0,6538
60	0,3	false	0,05	0	29208	2	24050	0,0000	0,0000	0,0001	0,0000	0,0000	1,0000	0,5484
60	0,3	true	1,00	14208	20515	8695	9842	0,6052	0,5908	0,2977	0,6204	0,5908	0,3796	0,6520
60	0,4	false	0,06	1	29209	1	24049	0,0001	0,0000	0,0000	0,5000	0,0000	0,5000	0,5484
60	0,4	true	1,00	12137	22044	7166	11913	0,5599	0,5047	0,2453	0,6288	0,5047	0,3712	0,6418
60	0,7	false	0,05	5	29207	3	24045	0,0004	0,0002	0,0001	0,6250	0,0002	0,3750	0,5485
60	0,7	true	1,00	12570	21583	7627	11480	0,5682	0,5227	0,2611	0,6224	0,5227	0,3776	0,6413
60	0,8	false	0,07	1	29209	1	24049	0,0001	0,0000	0,0000	0,5000	0,0000	0,5000	0,5484
60	0,8	true	1,00	12991	20858	8352	11059	0,5724	0,5402	0,2859	0,6087	0,5402	0,3913	0,6355
60	0,9	false	0,10	0	29209	1	24050	0,0000	0,0000	0,0000	0,0000	0,0000	1,0000	0,5484
60	0,9	true	1,00	13587	20111	9099	10463	0,5814	0,5649	0,3115	0,5989	0,5649	0,4011	0,6327
61	0,1	false	0,03	39	29205	5	24011	0,0032	0,0016	0,0002	0,8864	0,0016	0,1136	0,5491
61	0,1	true	1,00	16035	19034	10176	8015	0,6381	0,6667	0,3484	0,6118	0,6667	0,3882	0,6584
61	0,2	false	0,03	53	29183	27	23997	0,0044	0,0022	0,0009	0,6625	0,0022	0,3375	0,5489
61	0,2	true	1,00	14164	20380	8830	9886	0,6022	0,5889	0,3023	0,6160	0,5889	0,3840	0,6486
61	0,3	false	0,05	2	29210	0	24048	0,0002	0,0001	0,0000	1,0000	0,0001	0,0000	0,5485
61	0,3	true	1,00	14032	20782	8428	10018	0,6034	0,5835	0,2885	0,6248	0,5835	0,3752	0,6537
61	0,4	false	0,06	1	29210	0	24049	0,0001	0,0000	0,0000	1,0000	0,0000	0,0000	0,5485
61	0,4	true	1,00	12182	21877	7333	11868	0,5593	0,5065	0,2510	0,6242	0,5065	0,3758	0,6395
61	0,7	false	0,06	2	29209	1	24048	0,0002	0,0001	0,0000	0,6667	0,0001	0,3333	0,5485
61	0,7	true	1,00	11922	21807	7403	12128	0,5497	0,4957	0,2534	0,6169	0,4957	0,3831	0,6333
61	0,8	false	0,06	5	29209	1	24045	0,0004	0,0002	0,0000	0,8333	0,0002	0,1667	0,5485
61	0,8	true	1,00	12054	21591	7619	11996	0,5514	0,5012	0,2608	0,6127	0,5012	0,3873	0,6317
61	0,9	false	0,13	2	29210	0	24048	0,0002	0,0001	0,0000	1,0000	0,0001	0,0000	0,5485
61	0,9	true	1,00	13536	19790	9420	10514	0,5759	0,5628	0,3225	0,5896	0,5628	0,4104	0,6257
62	0,1	false	0,02	16196	18949	10261	7854	0,6413	0,6734	0,3513	0,6122	0,6734	0,3878	0,6599
62	0,1	true	1,00	16063	18660	10550	7987	0,6341	0,6679	0,3612	0,6036	0,6679	0,3964	0,6520
62	0,2	false	0,05	11	29210	0	24039	0,0009	0,0005	0,0000	1,0000	0,0005	0,0000	0,5486
62	0,2	true	1,00	14033	21120	8090	10017	0,6078	0,5835	0,2770	0,6343	0,5835	0,3657	0,6600
62	0,3	false	0,05	11	29208	2	24039	0,0009	0,0005	0,0001	0,8462	0,0005	0,1538	0,5486
62	0,3	true	1,00	13726	20996	8214	10324	0,5969	0,5707	0,2812	0,6256	0,5707	0,3744	0,6519
62	0,4	false	0,04	121	29163	47	23929	0,0100	0,0050	0,0016	0,7202	0,0050	0,2798	0,5498
62	0,4	true	1,00	12131	21758	7452	11919	0,5560	0,5044	0,2551	0,6195	0,5044	0,3805	0,6363
62	0,7	false	0,05	1	29210	0	24049	0,0001	0,0000	0,0000	1,0000	0,0000	0,0000	0,5485
62	0,7	true	1,00	10568	23046	6164	13482	0,5183	0,4394	0,2110	0,6316	0,4394	0,3684	0,6311
62	0,8	false	0,07	1	29210	0	24049	0,0001	0,0000	0,0000	1,0000	0,0000	0,0000	0,5485
62	0,8	true	1,00	12601	21331	7879	11449	0,5660	0,5240	0,2697	0,6153	0,5240	0,3847	0,6371
62	0,9	false	0,13	2	29210	0	24048	0,0002	0,0001	0,0000	1,0000	0,0001	0,0000	0,5485
62	0,9	true	1,00	13389	20120	9090	10661	0,5755	0,5567	0,3112	0,5956	0,5567	0,4044	0,6292
63	0,1	false	0,02	16205	18855	10355	7845	0,6404	0,6738	0,3545	0,6101	0,6738	0,3899	0,6583
63	0,1	true	1,00	15870	19117	10093	8180	0,6346	0,6599	0,3455	0,6113	0,6599	0,3887	0,6569
63	0,2	false	0,03	142	29107	103	23908	0,0117	0,0059	0,0035	0,5796	0,0059	0,4204	0,5492
63	0,2	true	1,00	14052	20986	8224	9998	0,6067	0,5843	0,2815	0,6308	0,5843	0,3692	0,6579
63	0,3	false	0,04	63	29173	37	23987	0,0052	0,0026	0,0013	0,6300	0,0026	0,3700	0,5489
63	0,3	true	1,00	13504	21146	8064	10546	0,5920	0,5615	0,2761	0,6261	0,5615	0,3739	0,6506
63	0,4	false	0,06	0	29209	1	24050	0,0000	0,0000	0,0000	0,0000	0,0000	1,0000	0,5484
63	0,4	true	1,00	12014	22296	6914	12036	0,5591	0,4995	0,2367	0,6347	0,4995	0,3653	0,6442
63	0,7	false	0,05	2	29210	0	24048	0,0002	0,0001	0,0000	1,0000	0,0001	0,0000	0,5485
63	0,7	true	1,00	12141	22310	6900	11909	0,5635	0,5048	0,2362	0,6376	0,5048	0,3624	0,6468
63	0,8	false	0,07	2	29209	1	24048	0,0002	0,0001	0,0000	0,6667	0,0001	0,3333	0,5485
63	0,8	true	1,00	13441	21192	8018	10609	0,5907	0,5589	0,2745	0,6264	0,5589	0,3736	0,6503
63	0,9	false	0,12	1	29210	0	24049	0,0001	0,0000	0,0000	1,0000	0,0000	0,0000	0,5485
63	0,9	true	1,00	13506	20105	9105	10544	0,5789	0,5616	0,3117	0,5973	0,5616	0,4027	0,6311
64	0,1	false	0,02	16109	18795	10415	7941	0,6370	0,6698	0,3566	0,6073	0,6698	0,3927	0,6554
64	0,1	true	1,00	16201	18773	10437	7849	0,6392	0,6736	0,3573	0,6082	0,6736	0,3918	0,6567
64	0,2	false	0,03	153	29151	59	23897	0,0126	0,0064	0,0020	0,7217	0,0064	0,2783	0,5502
64	0,2	true	1,00	14530	20673	8537	9520	0,6168	0,6042	0,2923	0,6299	0,6042	0,3701	0,6610
64	0,3	false	0,04	77	29189	21	23973	0,0064	0,0032	0,0007	0,7857	0,0032	0,2143	0,5495
64	0,3	true	1,00	13950	20928	8282	10100	0,6028	0,5800	0,2835	0,6275	0,5800	0,3725	0,6549
64	0,4	false	0,05	1	29210	0	24049	0,0001	0,0000	0,0000	1,0000	0,0000	0,0000	0,5485
64	0,4	true	1,00	12562	21871	7339	11488	0,5716	0,5223	0,2512	0,6312	0,5223	0,3688	0,6465
64	0,7	false	0,07	1	29210	0	24049	0,0001	0,0000	0,0000	1,0000	0,0000	0,0000	0,5485
64	0,7	true	1,00	12068	21662	7548	11982	0,5527	0,5018	0,2584	0,6152	0,5018	0,3848	0,6333
64	0,8	false	0,08	0	29209	1	24050	0,0000	0,0000	0,0000	0,0000	0,0000	1,0000	0,5484
64	0,8	true	1,00	13310	20870	8340	10740	0,5825	0,5534	0,2855	0,6148	0,5534	0,3852	0,6418
64	0,9	false	0,13	3	29208	2	24047	0,0002	0,0001	0,0001	0,6000	0,0001	0,4000	0,5485
64	0,9	true	1,00	13387	20698	8512	10663	0,5827	0,5566	0,2914	0,6113	0,5566	0,3887	0,6400
