k	t	bipart	threshold	tp	tn	fp	fn	fmeasure	tprate	fprate	precision	recall	fallout	acc
16	0,1	false	0,15	1	4108	1	1513	0,0013	0,0007	0,0002	0,5000	0,0007	0,5000	0,7307
16	0,1	true	1,00	244	3905	204	1270	0,2487	0,1612	0,0496	0,5446	0,1612	0,4554	0,7379
16	0,2	false	0,17	1	4109	0	1513	0,0013	0,0007	0,0000	1,0000	0,0007	0,0000	0,7309
16	0,2	true	1,00	244	3887	222	1270	0,2465	0,1612	0,0540	0,5236	0,1612	0,4764	0,7347
16	0,3	false	0,25	1	4109	0	1513	0,0013	0,0007	0,0000	1,0000	0,0007	0,0000	0,7309
16	0,3	true	1,00	235	3895	214	1279	0,2394	0,1552	0,0521	0,5234	0,1552	0,4766	0,7345
16	0,4	false	0,33	1	4108	1	1513	0,0013	0,0007	0,0002	0,5000	0,0007	0,5000	0,7307
16	0,4	true	1,00	237	3913	196	1277	0,2435	0,1565	0,0477	0,5473	0,1565	0,4527	0,7380
16	0,7	true	1,00	207	3932	177	1307	0,2181	0,1367	0,0431	0,5391	0,1367	0,4609	0,7361
16	0,7	false	0,33	1	4108	1	1513	0,0013	0,0007	0,0002	0,5000	0,0007	0,5000	0,7307
16	0,8	true	1,00	234	3871	238	1280	0,2356	0,1546	0,0579	0,4958	0,1546	0,5042	0,7300
16	0,8	false	0,60	0	4108	1	1514	0,0000	0,0000	0,0002	0,0000	0,0000	1,0000	0,7306
16	0,9	false	0,43	0	4108	1	1514	0,0000	0,0000	0,0002	0,0000	0,0000	1,0000	0,7306
16	0,9	true	1,00	213	3911	198	1301	0,2213	0,1407	0,0482	0,5182	0,1407	0,4818	0,7334
17	0,1	false	0,09	5	4104	5	1509	0,0066	0,0033	0,0012	0,5000	0,0033	0,5000	0,7307
17	0,1	true	1,00	283	3868	241	1231	0,2777	0,1869	0,0587	0,5401	0,1869	0,4599	0,7382
17	0,2	false	0,11	5	4107	2	1509	0,0066	0,0033	0,0005	0,7143	0,0033	0,2857	0,7313
17	0,2	true	1,00	258	3870	239	1256	0,2566	0,1704	0,0582	0,5191	0,1704	0,4809	0,7341
17	0,3	false	0,25	1	4109	0	1513	0,0013	0,0007	0,0000	1,0000	0,0007	0,0000	0,7309
17	0,3	true	1,00	209	3913	196	1305	0,2178	0,1380	0,0477	0,5160	0,1380	0,4840	0,7331
17	0,4	false	0,33	4	4108	1	1510	0,0053	0,0026	0,0002	0,8000	0,0026	0,2000	0,7313
17	0,4	true	1,00	213	3926	183	1301	0,2230	0,1407	0,0445	0,5379	0,1407	0,4621	0,7361
17	0,7	false	0,33	0	4108	1	1514	0,0000	0,0000	0,0002	0,0000	0,0000	1,0000	0,7306
17	0,7	true	1,00	217	3933	176	1297	0,2276	0,1433	0,0428	0,5522	0,1433	0,4478	0,7380
17	0,8	false	0,40	1	4109	0	1513	0,0013	0,0007	0,0000	1,0000	0,0007	0,0000	0,7309
17	0,8	true	1,00	215	3877	232	1299	0,2193	0,1420	0,0565	0,4810	0,1420	0,5190	0,7277
17	0,9	true	1,00	208	3892	217	1306	0,2145	0,1374	0,0528	0,4894	0,1374	0,5106	0,7291
17	0,9	false	0,27	1	4109	0	1513	0,0013	0,0007	0,0000	1,0000	0,0007	0,0000	0,7309
18	0,1	false	0,09	1	4109	0	1513	0,0013	0,0007	0,0000	1,0000	0,0007	0,0000	0,7309
