k	t	bipart	threshold	tp	tn	fp	fn	fmeasure	tprate	fprate	precision	recall	t	acc
59	0,1	true	1,00	206	3858	251	1308	0,2090	0,1361	0,0611	0,4508	0,1361	0,5492	0,7227
59	0,1	false	0,05	0	4108	1	1514	0,0000	0,0000	0,0002	0,0000	0,0000	1,0000	0,7306
59	0,2	false	0,04	8	4107	2	1506	0,0105	0,0053	0,0005	0,8000	0,0053	0,2000	0,7318
59	0,2	true	1,00	271	3868	241	1243	0,2675	0,1790	0,0587	0,5293	0,1790	0,4707	0,7361
59	0,3	false	0,05	0	4108	1	1514	0,0000	0,0000	0,0002	0,0000	0,0000	1,0000	0,7306
59	0,3	true	1,00	269	3858	251	1245	0,2645	0,1777	0,0611	0,5173	0,1777	0,4827	0,7339
59	0,4	false	0,06	0	4108	1	1514	0,0000	0,0000	0,0002	0,0000	0,0000	1,0000	0,7306
59	0,4	true	1,00	311	3775	334	1203	0,2881	0,2054	0,0813	0,4822	0,2054	0,5178	0,7267
59	0,7	false	0,08	1	4109	0	1513	0,0013	0,0007	0,0000	1,0000	0,0007	0,0000	0,7309
59	0,7	true	1,00	258	3780	329	1256	0,2456	0,1704	0,0801	0,4395	0,1704	0,5605	0,7181
59	0,8	true	1,00	253	3801	308	1261	0,2439	0,1671	0,0750	0,4510	0,1671	0,5490	0,7210
59	0,8	false	0,15	1	4109	0	1513	0,0013	0,0007	0,0000	1,0000	0,0007	0,0000	0,7309
59	0,9	false	0,16	1	4109	0	1513	0,0013	0,0007	0,0000	1,0000	0,0007	0,0000	0,7309
59	0,9	true	1,00	215	3897	212	1299	0,2215	0,1420	0,0516	0,5035	0,1420	0,4965	0,7313
60	0,1	true	1,00	181	3906	203	1333	0,1907	0,1196	0,0494	0,4714	0,1196	0,5286	0,7268
60	0,1	false	0,04	2	4108	1	1512	0,0026	0,0013	0,0002	0,6667	0,0013	0,3333	0,7309
60	0,2	false	0,05	2	4108	1	1512	0,0026	0,0013	0,0002	0,6667	0,0013	0,3333	0,7309
60	0,2	true	1,00	266	3862	247	1248	0,2625	0,1757	0,0601	0,5185	0,1757	0,4815	0,7341
60	0,3	true	1,00	274	3845	264	1240	0,2671	0,1810	0,0642	0,5093	0,1810	0,4907	0,7325
60	0,3	false	0,04	1	4109	0	1513	0,0013	0,0007	0,0000	1,0000	0,0007	0,0000	0,7309
60	0,4	true	1,00	321	3766	343	1193	0,2948	0,2120	0,0835	0,4834	0,2120	0,5166	0,7268
60	0,4	false	0,04	2	4109	0	1512	0,0026	0,0013	0,0000	1,0000	0,0013	0,0000	0,7311
60	0,7	false	0,09	2	4109	0	1512	0,0026	0,0013	0,0000	1,0000	0,0013	0,0000	0,7311
60	0,7	true	1,00	274	3815	294	1240	0,2632	0,1810	0,0716	0,4824	0,1810	0,5176	0,7272
60	0,8	false	0,15	1	4109	0	1513	0,0013	0,0007	0,0000	1,0000	0,0007	0,0000	0,7309
60	0,8	true	1,00	246	3838	271	1268	0,2422	0,1625	0,0660	0,4758	0,1625	0,5242	0,7263
60	0,9	false	0,19	1	4109	0	1513	0,0013	0,0007	0,0000	1,0000	0,0007	0,0000	0,7309
60	0,9	true	1,00	195	3905	204	1319	0,2039	0,1288	0,0496	0,4887	0,1288	0,5113	0,7291
61	0,1	false	0,02	94	4007	102	1420	0,1099	0,0621	0,0248	0,4796	0,0621	0,5204	0,7293
61	0,1	true	1,00	189	3870	239	1325	0,1946	0,1248	0,0582	0,4416	0,1248	0,5584	0,7219
61	0,2	true	1,00	285	3815	294	1229	0,2723	0,1882	0,0716	0,4922	0,1882	0,5078	0,7291
61	0,2	false	0,04	2	4108	1	1512	0,0026	0,0013	0,0002	0,6667	0,0013	0,3333	0,7309
61	0,3	false	0,06	1	4109	0	1513	0,0013	0,0007	0,0000	1,0000	0,0007	0,0000	0,7309
61	0,3	true	1,00	300	3824	285	1214	0,2859	0,1982	0,0694	0,5128	0,1982	0,4872	0,7334
61	0,4	false	0,06	2	4109	0	1512	0,0026	0,0013	0,0000	1,0000	0,0013	0,0000	0,7311
61	0,4	true	1,00	291	3780	329	1223	0,2727	0,1922	0,0801	0,4694	0,1922	0,5306	0,7240
61	0,7	false	0,09	1	4107	2	1513	0,0013	0,0007	0,0005	0,3333	0,0007	0,6667	0,7306
61	0,7	true	1,00	243	3838	271	1271	0,2396	0,1605	0,0660	0,4728	0,1605	0,5272	0,7258
61	0,8	false	0,16	1	4109	0	1513	0,0013	0,0007	0,0000	1,0000	0,0007	0,0000	0,7309
61	0,8	true	1,00	234	3836	273	1280	0,2316	0,1546	0,0664	0,4615	0,1546	0,5385	0,7238
61	0,9	false	0,15	1	4109	0	1513	0,0013	0,0007	0,0000	1,0000	0,0007	0,0000	0,7309
